r,theta,phi
6872.03678,32.5110639,-112.1407023
6872.588900000001,36.311704500000005,-111.92105079999999
6873.18642,40.1135828,-111.7794634
6873.82384,43.916255500000005,-111.6953018
6874.49542,47.7194075,-111.6544423
6875.195360000001,51.5228047,-111.64687169999999
6875.91788,55.3262668,-111.6652697
6876.6572400000005,59.1296502,-111.7041366
6877.4077,62.9328374,-111.7592354
6878.163640000001,66.7357293,-111.8272226
6878.9196,70.5382406,-111.90539659999999
6879.67037,74.3402967,-111.99152099999999
6880.411,78.141831,-112.08369619999999
6881.13694,81.9427838,-112.180264
6881.84399,85.74310080000001,-112.2797332
6882.5284,89.5427326,-112.3807195
6883.186900000001,93.3416335,-112.4818928
6883.81667,97.1397614,-112.58193019999999
6884.4154100000005,100.9370767,-112.67946839999999
6884.98131,104.7335417,-112.7730538
6885.51306,108.5291197,-112.8610856
6886.00987,112.3237736,-112.9417457
6886.47146,116.1174651,-113.0129115
6886.8979500000005,119.9101521,-113.0720388
6887.2898700000005,123.7017859,-113.1160032
6887.64803,127.4923068,-113.1408747
6887.9735200000005,131.2816374,-113.1415921
6888.267610000001,135.069673,-113.1114743
6888.53174,138.8562662,-113.041466
6888.76751,142.64120309999998,-112.9189286
6888.9765800000005,146.4241631,-112.7256183
6889.1607,150.2046483,-112.4341352
6889.32161,153.9818527,-112.0013007
6889.460950000001,157.75439740000002,-111.3548479
6889.58017,161.5197431,-110.36400379999999
6889.680520000001,165.2727113,-108.76569699999999
6889.76303,169.0010111,-105.94362299999999
6889.828509999999,172.6673831,-100.0651783
6889.877520000001,176.0940345,-82.9158058
6889.91032,177.66708640000002,-13.5127235
6889.926850000001,175.0680869,34.2158452
6889.92666,171.5205507,45.7994795
6889.90898,167.8272068,50.345244199999996
6889.872850000001,164.08913489999998,52.672336099999995
6889.81711,160.3316648,54.0362881
6889.74033,156.56395750000001,54.8984719
6889.641009999999,152.79009159999998,55.4669452
6889.51752,149.0121397,55.8490677
6869.947429999999,8.692676500000005,65.241177
6869.801509999999,5.109308600000006,76.1872968
6869.72755,2.3832479000000006,120.827855
6869.726140000001,3.7800102000000066,-166.9843618
6869.79719,7.206323100000006,-148.8113631
6869.93999,10.890676999999997,-142.7309596
6870.15316,14.639459400000007,-139.8442637
6870.43463,18.41327840000001,-138.219079
6870.78157,22.199276499999996,-137.21520909999998
6871.19045,25.992031100000005,-136.5618048
6871.65722,29.788853500000002,-136.12501939999999
6872.17746,33.58825,-135.83119729999999
6872.74649,37.3893174,-135.6364688
6873.359280000001,41.1914711,-135.5130643
6874.01054,44.994311100000004,-135.44253
6874.69468,48.79755,-135.41210279999999
6875.40597,52.6009727,-135.41265099999998
6876.13853,56.4044116,-135.43744569999998
6876.88644,60.2077323,-135.4813946
6877.64382,64.0108231,-135.5405475
6878.40494,67.8135889,-135.6117665
6879.164350000001,71.61594790000001,-135.6924984
6879.9168500000005,75.417828,-135.78061449999998
6880.657520000001,79.2191652,-135.8742928
6881.381850000001,83.0199017,-135.9719297
6882.08572,86.8199849,-136.0720701
6882.765469999999,90.6193667,-136.1733502
6883.41795,94.4180022,-136.2744471
6884.04054,98.2158499,-136.3740316
6884.63117,102.0128708,-136.47072079999998
6885.18829,105.809028,-136.5630265
6885.71086,109.60428569999999,-136.649295
6886.198230000001,113.39860780000001,-136.7276335
6886.6502199999995,117.1919559,-136.7958153
6887.067,120.9842872,-136.8511528
6887.44909,124.7755507,-136.8903228
6887.797350000001,128.5656826,-136.9091172
6888.11292,132.354599,-136.9020793
6888.39717,136.1421853,-136.8619536
6888.651620000001,139.9282789,-136.7788275
6888.87791,143.7126418,-136.63874049999998
6889.0777,147.49491319999998,-136.4213277
6889.2527199999995,151.2745264,-136.09561539999999
6889.40474,155.05055049999999,-135.6120248
6889.53541,158.82136309999999,-134.8859037
6889.64621,162.5839004,-133.7599418
6889.73838,166.3316795,-131.9056695
6889.81285,170.0484131,-128.5090951
6889.8703399999995,173.6795875,-120.91195309999999
6889.91129,176.9082037,-95.2187154
6889.93583,177.1953002,-15.6431341
6889.94383,174.09505209999998,15.172005899999998
6889.9348,170.48334640000002,23.705921699999998
6889.90794,166.7725906,27.392557
6889.86222,163.0274817,29.3707335
6889.79646,159.2664652,30.5604516
6889.709339999999,155.4966935,31.323545499999998
6889.59936,151.7214905,31.8304275
6889.46479,147.9425952,32.1717261
6869.807070000001,7.653485799999999,43.5093295
6869.68142,4.165782900000011,58.922420699999996
6869.62823,2.272901200000007,123.7243469
6869.6479500000005,4.6918911000000065,177.105231
6869.74032,8.2399597,-170.27093549999998
6869.904390000001,11.950488300000004,-165.4721429
6870.13855,15.708700100000001,-163.0525462
6870.44049,19.486939800000002,-161.6462416
6870.80724,23.2753596,-160.7617971
6871.23519,27.0695816,-160.18049349999998
6871.72015,30.867355800000006,-159.7904788
6872.25754,34.667399,-159.5286586
6872.8424,38.4689185,-159.35674
6873.46953,42.271392500000005,-159.2501211
6874.1335,46.0744583,-159.1922543
6874.82871,49.8778523,-159.1715777
6875.54942,53.6813753,-159.1797461
6876.28974,57.484871,-159.21056149999998
6877.04375,61.2882126,-159.25929979999998
6877.80551,65.0912943,-159.32227129999998
6878.56926,68.8940251,-159.39652519999999
6879.32954,72.6963251,-159.47964389999999
6880.0813,76.498124,-159.5695972
6880.81984,80.2993599,-159.6646341
6881.54074,84.0999767,-159.7632003
6882.24002,87.8999229,-159.86387259999998
6882.91423,91.6991512,-159.96530439999998
6883.56044,95.4976179,-160.0661767
6884.17624,99.2952827,-160.16515149999998
6884.759690000001,103.0921077,-160.2608228
6885.30936,106.8880565,-160.3516634
6885.82424,110.6830935,-160.435961
6886.3038,114.4771819,-160.5117402
6886.74792,118.270282,-160.5766593
6887.15689,122.062349,-160.6278721
6887.5313,125.85332869999999,-160.661835
6887.87208,129.6431524,-160.6740308
6888.18042,133.43172859999999,-160.6585606
6888.45779,137.2189309,-160.6075225
6888.7058,141.0045789,-160.5100315
6888.92617,144.788406,-160.3506119
6889.120629999999,148.57000490000001,-160.1064371
6889.29093,152.3487276,-159.7423197
6889.4387400000005,156.1234928,-159.2009855
6889.56571,159.8923765,-158.3825028
6889.6732999999995,163.6516421,-157.09566479999998
6889.7627,167.3930499,-154.92422299999998
6889.8347300000005,171.0944875,-150.7679078
6889.8899599999995,174.67252739999998,-140.61213659999999
6889.928650000001,177.51952949999998,-100.61514939999999
6889.95082,176.44775429999999,-25.355332699999998
6889.956230000001,173.0877658,-5.230417399999999
6889.94436,169.434202,1.2752525
6889.91437,165.7103747,4.3131065
6889.86513,161.959592,6.0088835
6889.79538,158.19559629999998,7.0515215
6889.70375,154.42404820000002,7.728595899999999
6889.58868,150.6476814,8.1809429
6869.90132,10.2914849,15.4128587
6869.7190200000005,6.6262867000000085,22.4386911
6869.60853,3.3067264000000023,45.2865415
6869.57083,2.645154000000005,123.8345571
6869.60622,5.6653042000000084,158.5559595
6869.71428,9.286045900000005,167.74014359999998
6869.8939,13.015390600000003,171.609744
6870.14325,16.781013900000005,173.6603901
6870.45985,20.562907300000006,174.8849663
6870.84058,24.353394899999998,175.6670151
6871.2817700000005,28.148899900000004,176.18510369999998
6871.779270000001,31.947522400000004,176.53343809999998
6872.328530000001,35.7481523,176.76638789999998
6872.9245,39.5500904,176.917535
6873.561890000001,43.3528682,177.0087586
6874.23515,47.1561557,177.0549452
6874.93858,50.959709700000005,177.066597
6875.66634,54.7633442,177.0513589
6876.412480000001,58.5669115,177.0149519
6877.17111,62.3702904,176.96176749999998
6877.93643,66.173379,176.8952592
6878.70284,69.97609,176.81820729999998
6879.46493,73.7783465,176.7329049
6880.21763,77.5800803,176.6412924
6880.95625,81.3812303,176.5450564
6881.676520000001,85.1817409,176.445707
6882.3746200000005,88.9815618,176.3446394
6883.0472,92.780647,176.24318689999998
6883.69138,96.5789544,176.14266899999998
6884.30472,100.3764449,176.04443759999998
6884.885179999999,104.1730814,175.94992729999998
6885.43116,107.9688273,175.8607108
6885.94166,111.76364509999999,175.7785664
6886.41629,115.5574965,175.7055622
6886.85505,119.3503405,175.64416749999998
6887.258350000001,123.1421301,175.5974043
6887.62692,126.93280759999999,175.56905949999998
6887.96187,130.722299,175.5639934
6888.26458,134.5105053,175.58859769999998
6888.53657,138.2972874,175.6515001
6888.779560000001,142.082445,175.76468699999998
6888.995370000001,145.8656786,175.9453694
6889.1858600000005,149.6465266,176.2192328
6889.35275,153.4242447,176.6264416
6889.49763,157.1975698,177.2335584
6889.62201,160.9642029,178.15948079999998
6889.72721,164.71953739999998,179.63913599999998
6889.8143,168.45292769999998,-177.7915309
6889.88405,172.1335206,-172.6062218
6889.93692,175.6265444,-158.4581326
6889.9730899999995,177.7487094,-98.6673701
6889.9925,175.5611319,-40.308407599999995
6889.99484,172.0606559,-26.5088667
