Br,Btheta,Blambda
-43524.627100000005,-8867.934000000001,-3372.9424000000004
-42495.3079,-10451.8974,-3662.2543
-41154.1998,-12050.8914,-3861.0758
-39507.3246,-13601.131500000001,-4038.0288
-37575.4116,-15059.076500000001,-4199.5923
-35390.6138,-16388.7786,-4342.8435
-32992.3228,-17569.308100000002,-4463.0149
-30423.9252,-18579.681,-4564.2156
-27727.9182,-19416.2956,-4646.4428
-24943.2631,-20078.368700000003,-4710.7834
-22105.4084,-20573.9538,-4748.7317
-19239.618300000002,-20914.7003,-4760.8005
-16364.1579,-21107.873600000003,-4740.109
-13495.980800000001,-21153.258100000003,-4685.9964
-10664.798700000001,-21054.232500000002,-4590.9758
-7885.4978,-20819.7812,-4452.156
-5188.1349,-20447.3584,-4263.8504
-2610.4523,-19951.939000000002,-4021.1493
-183.4324,-19359.9149,-3721.7033
2075.4319,-18702.9756,-3370.9838
4152.9759,-18017.721,-2970.2304
6055.546600000001,-17343.9216,-2527.3104000000003
7799.7925000000005,-16713.546000000002,-2048.1739000000002
9409.9758,-16157.057,-1543.0436
10923.119,-15698.491100000001,-1017.1479
12383.999600000001,-15356.637900000002,-479.44300000000004
13843.275500000002,-15132.5751,68.9195
15348.4796,-15020.946600000001,626.8025
16947.987800000003,-15001.579600000001,1192.5159
18678.1548,-15040.0043,1759.9795000000001
20557.3449,-15092.618600000002,2325.4554000000003
22587.8545,-15112.3922,2876.3725
24745.6865,-15051.8811,3400.9654
26982.436700000002,-14876.7772,3880.1233
29239.233500000002,-14578.0643,4283.735900000001
31457.6313,-14170.519600000001,4565.1585000000005
33581.8428,-13703.7011,4644.3469000000005
35583.1966,-13273.2751,4292.8991000000005
37433.298200000005,-13102.797900000001,2905.9338000000002
39188.985100000005,-12230.952800000001,-3660.7812000000004
40802.0149,435.4037,-12095.0853
42297.2093,4340.9822,-10525.6807
43675.2345,4510.075400000001,-9598.6142
44924.707200000004,3822.0798,-9006.9914
46019.2944,2734.9141,-8544.0013
46932.1621,1395.3651,-8064.5825
47605.7633,-192.26170000000002,-7640.968000000001
48042.303,-1840.2464,-7001.4519
-47073.7214,-2414.9221000000002,110.7534
-46719.333,-1448.77,368.79540000000003
-46387.2202,-517.2969,484.39700000000005
-46141.028600000005,206.3008,-72.84100000000001
-45993.2672,-460.0684,-575.6554
-45931.1652,-1223.2407,-741.8981
-45955.0887,-2013.0278,-834.5802
-46014.232,-2933.0512000000003,-890.6426
-46038.3724,-4001.3603000000003,-933.3622
-45946.712400000004,-5214.835300000001,-949.5464000000001
-45659.8979,-6607.7817000000005,-963.4822
-45138.1583,-8065.869100000001,-870.9259000000001
-44305.8165,-9679.992900000001,-924.7616
-43148.5051,-11297.2685,-951.7378
-41681.6134,-12869.219700000001,-931.6765
-39913.486600000004,-14376.771900000002,-904.3846000000001
-37867.4835,-15786.049500000001,-867.4038
-35577.8182,-17078.6571,-813.7833
-33069.615300000005,-18231.4921,-744.4179
-30390.2098,-19232.7968,-652.0729
-27575.0865,-20083.6273,-535.6407
-24654.719100000002,-20790.4388,-394.9273
-21648.6585,-21347.146,-226.60850000000002
-18590.6381,-21753.9637,-30.254900000000003
-15501.722000000002,-22015.3289,190.8493
-12410.4925,-22128.2964,431.38
-9344.3502,-22100.1431,689.817
-6329.552900000001,-21938.367700000003,966.5929000000001
-3390.4437000000003,-21651.8747,1263.3176
-550.9948,-21256.0406,1579.0527000000002
2167.3940000000002,-20766.419,1916.1984
4747.5644,-20206.5109,2275.5629
7178.884,-19599.5049,2659.6589
9460.069000000001,-18976.1709,3066.6911
11597.2355,-18361.9898,3495.0074
13612.3251,-17784.6186,3941.273
15535.657200000001,-17262.340500000002,4398.172500000001
17406.713900000002,-16806.3622,4860.149600000001
19266.5867,-16411.198200000003,5320.0025000000005
21151.0029,-16059.3981,5769.732800000001
23086.0499,-15719.9719,6202.0379
25078.433100000002,-15354.1533,6612.178
27116.5029,-14924.6443,6995.0937
29165.0507,-14397.1211,7348.3175
31169.9617,-13757.09,7661.7195
33068.010500000004,-13018.8235,7925.0191
34783.3284,-12239.223,8112.469700000001
36258.807,-11561.0303,8183.1872
37550.3297,-11191.3659,7836.4703
38647.9606,-11660.210000000001,6355.464
39520.3324,-12368.7252,-3513.5936
40158.3465,-2606.2669,-12202.6677
40623.1462,-188.41140000000001,-12231.7132
40977.3289,-77.0068,-12058.5255
41245.2416,-561.5901,-11931.8063
41444.5981,-1323.6353000000001,-11746.4212
41541.0248,-2206.2088,-11544.832100000001
41555.0591,-3201.2425000000003,-11213.3047
41483.6969,-4285.4800000000005,-10686.7587
-46682.185000000005,-2232.0471000000002,1299.8163
-46460.3278,-1237.1693,1037.8831
-46278.5374,-255.57260000000002,706.4896
-46170.838500000005,-49.4924,-33.1274
-46128.4329,-880.1861,-12.295900000000001
-46129.6907,-1733.7654,250.7144
-46161.2474,-2662.7787000000003,558.8464
-46172.7048,-3708.9818,876.0797
-46081.9893,-4943.7358,1196.8437000000001
-45801.850600000005,-6318.6026,1514.9249
-45307.1671,-7667.0202,1953.1516000000001
-44495.483100000005,-9329.217700000001,2164.0315
-43357.5763,-10969.742900000001,2387.9208000000003
-41891.8991,-12571.2813,2592.2699000000002
-40115.4035,-14104.2792,2758.1667
-38070.5069,-15535.485,2884.6490000000003
-35797.9928,-16851.2746,2972.6985
-33331.590000000004,-18053.174300000002,3028.5637
-30690.9487,-19138.0584,3055.4521
-27908.0386,-20107.4913,3063.3005000000003
-24992.202400000002,-20967.4129,3064.8556000000003
-21954.5135,-21707.3455,3066.8322000000003
-18815.2968,-22318.8269,3077.4136000000003
-15595.735400000001,-22789.212,3109.2144000000003
-12328.735700000001,-23106.3613,3164.5265
-9047.197400000001,-23268.879500000003,3248.0454
-5786.666,-23279.1341,3363.4073000000003
-2577.3908,-23149.388600000002,3512.1156
557.4568,-22894.9477,3696.2212
3602.569,-22531.370600000002,3917.1205
6547.793900000001,-22073.972100000003,4177.727
9387.671400000001,-21535.5688,4477.578100000001
12115.721800000001,-20926.3622,4819.3707
14727.1149,-20257.9015,5198.8883000000005
17219.0154,-19540.223,5613.978700000001
19589.1918,-18787.2193,6059.3748000000005
21839.9068,-18012.0632,6526.2729
23980.8286,-17222.015900000002,7007.683800000001
26021.601000000002,-16423.791,7492.2362
27974.9592,-15615.413,7969.5861
29850.194900000002,-14785.2157,8430.4516
31646.765900000002,-13916.0344,8868.7919
33353.6748,-12988.151,9276.3045
34946.5123,-11986.5336,9647.2443
36381.7289,-10906.6524,9978.4941
37610.9799,-9779.2664,10257.392100000001
38575.7923,-8666.3281,10515.4185
39254.7695,-7835.671,10635.306900000001
39636.1791,-7557.3159000000005,10609.4007
39721.3355,-9218.4881,9057.2374
39571.4224,-12041.246500000001,-4071.9523000000004
39084.4871,-6351.7392,-11177.310000000001
38420.0346,-5151.2753,-11991.0905
37629.7324,-5217.4381,-12211.4239
36757.6082,-5605.8982000000005,-12298.286600000001
35850.5608,-6089.7549,-12201.767300000001
34917.3107,-6849.6571,-11787.1218
33981.0423,-7102.202,-11678.2217
33153.163700000005,-7491.8849,-11401.061
-46070.396,-2710.5657,1820.7207
-46153.4464,-1442.9416,1396.8616000000002
-46207.2482,-157.92680000000001,809.0211
-46243.8268,-463.90200000000004,117.6098
-46237.9314,-1645.2125,405.84720000000004
-46160.8383,-2889.5318,878.8492
-45988.940800000004,-4200.9798,1392.1792
-45662.6855,-5669.9545,1878.6682
-45144.075000000004,-7120.8174,2464.8682000000003
-44379.075600000004,-8592.534,3059.5239
-43264.839,-10331.7374,3355.4874
-41834.513100000004,-11951.1133,3698.5067000000004
-40108.339100000005,-13476.8781,3969.1924000000004
-38125.2666,-14879.830600000001,4162.8713
-35935.4084,-16141.960200000001,4283.3464
-33590.143000000004,-17263.1153,4336.7844000000005
-31131.9599,-18257.3573,4335.2653
-28591.7873,-19145.2497,4291.5973
-25988.3328,-19951.449,4217.9543
-23321.7884,-20698.198800000002,4129.9627
-20582.7602,-21397.740100000003,4042.2169000000004
-17756.496900000002,-22052.543700000002,3965.7815
-14828.226900000001,-22653.6211,3913.7648000000004
-11791.2196,-23180.6562,3896.2849
-8647.9514,-23607.552,3923.5113
-5416.9073,-23908.4127,3999.2398000000003
-2126.4765,-24065.2284,4126.909000000001
1190.9103,-24067.7616,4304.2989
4500.1796,-23914.3894,4526.352800000001
7772.8653,-23609.9091,4785.681500000001
10979.9294,-23163.4853,5075.0904
14099.563400000001,-22585.7912,5385.3321000000005
17114.873900000002,-21888.915800000002,5712.055
20009.500900000003,-21084.2582,6050.7092
22770.6413,-20184.1486,6400.164900000001
25389.0171,-19201.8583,6760.8522
27858.5157,-18148.6814,7134.7983
30177.549000000003,-17030.9746,7524.7349
32342.630100000002,-15852.416700000002,7930.7308
34349.5304,-14612.776600000001,8350.699700000001
36187.2483,-13303.730300000001,8780.815400000001
37835.2002,-11921.498800000001,9213.267300000001
39265.5769,-10465.8439,9638.5036
40441.6183,-8949.3405,10046.152900000001
41320.5576,-7390.0447,10446.6939
41883.764800000004,-5890.9373000000005,10737.465400000001
42046.8923,-4497.7563,11222.9902
41854.5159,-3438.7351000000003,11640.521200000001
41291.6154,-3215.4435000000003,11981.578300000001
40478.7882,-6793.3355,10452.5221
39210.2044,-12484.3507,-3546.2021
37710.2566,-10158.9066,-8799.4475
36042.1069,-9761.3479,-9716.1812
34200.7042,-9958.0504,-9888.9751
32329.536900000003,-10044.8451,-9919.6821
30534.931800000002,-10084.0203,-9820.9071
28862.9664,-10098.3665,-9549.2697
27333.3319,-10024.3253,-9227.1843
25969.401400000002,-9899.343,-8858.739
-45532.408800000005,-3360.1857,1614.5574000000001
-45922.585900000005,-1776.8832,1312.5810000000001
-46196.800200000005,-132.3459,766.7293000000001
-46347.639800000004,-969.4446,189.4846
-46335.2448,-2563.0866,386.9651
-46121.7724,-4253.3553,749.3309
-45678.2637,-5980.4948,1164.5978
-44976.6019,-7690.8923,1716.4908
-43934.755900000004,-9585.342400000001,2025.7786
-42550.7972,-11370.3703,2380.3697
-40839.0884,-13046.5534,2700.3919
-38841.9793,-14567.857,2969.4033
-36618.098900000005,-15894.5696,3185.4718000000003
-34252.6581,-17015.5775,3348.0953
-31812.638000000003,-17955.794700000002,3463.4537
-29344.166800000003,-18747.866,3539.3759
-26882.239,-19433.8619,3586.5612
-24433.921700000003,-20065.907900000002,3613.5294000000004
-21983.9581,-20685.1505,3630.3369000000002
-19498.233,-21318.0415,3645.4933
-16937.799300000002,-21978.051300000003,3670.8648000000003
-14262.1399,-22661.4323,3716.8906
-11430.4457,-23348.566600000002,3786.8004
-8417.3426,-24001.403000000002,3886.8623000000002
-5214.7168,-24576.164,4022.1022000000003
-1833.8642,-25024.4062,4194.408100000001
1691.1286,-25299.1253,4401.5975
5309.3832,-25370.2588,4641.4016
8966.9603,-25216.598400000003,4909.3258000000005
12597.4577,-24834.544700000002,5196.743600000001
16145.296900000001,-24236.4964,5498.0623000000005
19562.2036,-23440.4251,5804.1557
22808.8643,-22476.2693,6108.2356
25861.988400000002,-21376.460600000002,6408.5886
28710.881,-20168.2485,6701.7165
31357.7173,-18879.2664,6991.202200000001
33810.6492,-17521.6548,7275.102900000001
36080.2741,-16092.969000000001,7557.192800000001
38162.356,-14588.322900000001,7841.9654
40050.9011,-12997.4194,8127.4182
41723.6765,-11300.043300000001,8415.8124
43139.391500000005,-9493.3966,8703.6258
44247.4435,-7579.8324,9017.616100000001
45014.3546,-5571.290800000001,9386.5581
45404.617900000005,-3635.4794,9643.9832
45369.1886,-1837.0189,9727.6093
44816.964100000005,1.169,10181.698400000001
43841.5716,1282.9187000000002,10622.923
42453.078,1176.4083,11369.4028
40698.8611,-5561.8262,10921.5308
38651.5198,-12933.714,-1510.7444
36399.1751,-12561.7666,-5149.3343
34014.2228,-12524.3318,-6140.3264
31619.1198,-12547.4707,-6428.5378
29308.809800000003,-12469.9007,-6377.7419
27134.4828,-12241.026300000001,-6199.9894
25155.206400000003,-11854.5926,-5941.0419
23417.9167,-11340.3696,-5636.0135
-44566.5628,-4860.7541,741.3375000000001
-45248.1146,-3528.0535,685.3864
-45815.7826,-1871.0465000000002,1011.8676
-46235.0235,-241.51100000000002,680.4993000000001
-46474.541600000004,-1421.2359000000001,89.1907
-46487.9115,-3198.6294000000003,-27.9891
-46229.4861,-5069.1993,37.0495
-45657.9285,-7041.5778,117.87230000000001
-44714.855,-9118.9691,131.84050000000002
-43405.0991,-11110.2593,232.4512
-41720.445700000004,-13007.089300000001,344.7079
