r,theta,phi,Br,Btheta,Bphi
6889.366190000001,155.15739150000002,-162.9070813,45459.3441,-5732.151800000001,8882.047400000001
6889.50284,158.92807779999998,-162.1728841,45852.898700000005,-3750.0673,9220.399300000001
6889.619900000001,162.6903689,-161.0328716,45847.3671,-1704.8197,9556.856600000001
6889.718620000001,166.43763719999998,-159.1511258,45364.3718,252.0189,9917.2053
6889.79989,170.1531284,-155.6901263,44443.954900000004,1652.5385,10219.102700000001
6889.864320000001,173.7801447,-147.8863694,43068.923200000005,2119.8356,10907.444300000001
6889.91222,176.9816626,-121.0684096,41315.1961,-1742.2856000000002,11836.7759
6889.94363,177.1312815,-41.2206201,39244.2152,-12693.6795,1699.3249
6889.95838,173.99638299999998,-11.7395658,36948.500400000004,-12858.2793,-4036.387
6889.95599,170.3795467,-3.4491313,34524.8525,-12840.101400000001,-5301.6113000000005
6889.93571,166.6672701,0.1626269,32072.9847,-12837.6224,-5813.5247
6889.89644,162.9215352,2.1087848,29687.1515,-12783.911600000001,-5836.028600000001
6889.8369,159.1602175,3.2819447999999998,27439.1353,-12549.5583,-5714.5499
6889.755770000001,155.3902929,4.0353658,25380.5363,-12159.1985,-5496.9753
6889.65151,151.6150161,4.5360993999999994,23565.6016,-11621.1535,-5235.7943000000005
6869.77416,7.55342730000001,16.4218753,-45038.801400000004,-4051.4770000000003,599.0592
6869.63979,4.077756300000004,32.3917044,-45643.6796,-2437.3304000000003,854.6584
6869.57796,2.2884439999999984,99.00824539999999,-46124.4479,-453.6569,1014.0043000000001
6869.58918,4.783524900000003,150.4017728,-46438.863000000005,-1013.9589000000001,168.6996
6869.67324,8.340481100000005,162.6171325,-46537.8173,-2704.7684,-80.43560000000001
6869.82923,12.053238700000009,167.3114743,-46373.8206,-4561.3892000000005,-134.9182
6870.055520000001,15.812364299999999,169.690719,-45908.2701,-6501.6774000000005,-62.4386
6870.34983,19.591104200000004,171.0774179,-45080.8851,-8575.1452,-140.11690000000002
6870.70921,23.379857799999996,171.9508866,-43875.1394,-10609.0725,-104.8935
6871.13013,27.174336100000005,172.5254272,-42288.2234,-12559.6085,-44.7173
6871.60857,30.9723271,172.9109775,-40356.211200000005,-14364.6273,44.9518
6872.14011,34.7725663,173.1696945,-38135.8537,-15983.4506,161.4925
6872.71987,38.574271,173.3393688,-35700.593,-17394.9736,313.4465
6873.34263,42.376924800000005,173.44431319999998,-33114.1362,-18596.5691,500.63530000000003
6874.00294,46.1801679,173.50089939999998,-30448.7979,-19606.515600000002,727.3788000000001
6874.69517,49.983738100000004,173.52057739999998,-27751.4638,-20463.927200000002,990.5500000000001
6875.41352,53.787436400000004,173.51161779999998,-25045.992400000003,-21210.8704,1288.037
6876.15209,57.5911065,173.4801683,-22337.6434,-21891.831000000002,1613.4483
6876.90497,61.394620700000004,173.43091769999998,-19611.4313,-22537.429,1952.5171
6877.66637,65.1978726,173.3675304,-16848.7877,-23171.8656,2296.0354
6878.43062,69.000771,173.2929389,-14022.6517,-23809.520800000002,2638.3118
6879.19224,72.8032366,173.20954709999998,-11092.390000000001,-24459.8953,2970.2795
6879.94607,76.6051987,173.119375,-8014.563,-25109.6738,3285.8264000000004
6880.6873,80.406594,173.02416639999998,-4758.2998,-25723.113,3580.8705
6881.41154,84.2073652,172.9254703,-1308.7195000000002,-26256.173600000002,3854.8251
6882.114860000001,88.0074604,172.8247061,2331.5729,-26657.6031,4109.6861
6882.79379,91.8068321,172.7232182,6134.959400000001,-26873.129800000002,4347.5632000000005
6883.4453300000005,95.6054369,172.622325,10048.626900000001,-26857.406000000003,4571.026800000001
6884.06693,99.4032347,172.5233659,14006.5365,-26580.4355,4784.616300000001
6884.65642,103.2001875,172.42774939999998,17931.6822,-26032.8692,4992.4942
6885.2120700000005,106.9962582,172.3370074,21754.5766,-25220.2719,5194.8006000000005
6885.732730000001,110.791409,172.2528586,25406.974400000003,-24168.136300000002,5389.6618
6886.217890000001,114.5856015,172.1772878,28838.835300000002,-22914.321200000002,5578.0677000000005
6886.66751,118.3787955,172.11264889999998,32025.228000000003,-21497.2984,5761.6615
6887.08189,122.1709456,172.061805,34950.2511,-19951.109200000003,5936.1205
6887.46171,125.9619969,172.0283227,37610.8071,-18302.6643,6098.944600000001
6887.80795,129.7518801,172.01675129999998,40004.306000000004,-16572.872,6246.437400000001
6888.12189,133.5405033,172.03303499999998,42144.0343,-14776.451000000001,6378.1493
6888.4050099999995,137.3277393,172.0851425,44037.957,-12905.178800000002,6489.7398
6888.65893,141.113406,172.18406,45666.5674,-10947.6322,6573.7653
6888.885429999999,144.89723370000002,172.34542199999999,47005.551100000004,-8895.5996,6629.5469
6889.08634,148.6788102,172.5923167,48025.661400000005,-6757.063300000001,6685.561500000001
6889.26342,152.4574799,172.9603855,48717.5555,-4634.327200000001,6622.8194
6889.41829,156.2321457,173.5077457,48985.0218,-2312.6969,6688.785000000001
6889.55244,160.0008508,174.3360322,48806.540400000005,-19.843700000000002,6702.195500000001
6889.667240000001,163.75978270000002,175.64031749999998,48165.471600000004,2173.3068000000003,6761.157
6889.76381,167.5004971,177.84718039999998,47062.1281,4155.5094,6950.6182
6889.84298,171.200168,-177.9077951,45521.2174,5689.5838,7484.9604
6889.90528,174.7715025,-167.4296403,43603.1452,6041.9682,8841.8601
6889.950940000001,177.5640244,-125.609552,41359.0173,-599.8063000000001,11937.4174
6889.9799299999995,176.3633436,-51.5707004,38885.772300000004,-12427.349900000001,3701.8158000000003
6889.99199,172.9849592,-32.2481109,36281.679000000004,-13644.1402,-18.361900000000002
6889.9866,169.32797219999998,-25.909799999999997,33618.512500000004,-14030.1841,-1301.4086
6889.96293,165.6030246,-22.929402,30991.9739,-14138.7936,-1832.4775000000002
6889.91987,161.8517695,-21.2596948,28481.6264,-13996.7657,-2124.3109
6889.85613,158.0875528,-20.2310213,26157.973400000003,-13623.4882,-2309.8782
6889.77023,154.3159029,-19.5622896,24086.7573,-13063.7369,-2452.2599
6889.66049,150.5394993,-19.1153251,22316.5328,-12376.488500000001,-2573.2037
6869.67258,6.52651920000001,-4.558551899999999,-45050.6091,-3694.7081000000003,-559.0325
6869.554520000001,3.2297563000000054,19.256472199999997,-45642.593,-2342.0364,378.45550000000003
6869.50947,2.702541199999999,98.4382674,-46157.4941,-544.0496,980.6897
6869.53776,5.763128600000002,131.6610682,-46557.7618,-1164.1736,190.8878
6869.63901,9.3894083,140.5826196,-46784.8655,-2665.5163000000002,-382.11220000000003
6869.81213,13.12038650000001,144.3753041,-46772.1907,-4364.698600000001,-626.1644
6870.055310000001,16.886740400000008,146.3940836,-46479.2505,-6307.9232,-1018.7575
6870.3661,20.669057300000006,147.6025731,-45836.6811,-8360.0064,-1462.3227000000002
6870.741390000001,24.459839700000003,148.3754176,-44822.569800000005,-10397.6303,-1779.8633
6871.17746,28.255579100000006,148.8877675,-43434.8743,-12402.7844,-2022.5896
6871.67008,32.054406400000005,149.232294,-41698.8461,-14336.745700000001,-2195.3939
6872.21457,35.8552261,149.4625956,-39640.3108,-16159.9199,-2288.8636
6872.8059299999995,39.657347,149.61183269999998,-37306.0455,-17851.993300000002,-2296.6752
6873.43883,43.4603051,149.7016382,-34731.596000000005,-19406.8161,-2216.9508
6874.10775,47.2637726,149.7467467,-31953.891300000003,-20820.052,-2053.0269000000003
6874.80704,51.0675076,149.7575636,-29004.1895,-22095.471100000002,-1806.3495
6875.5308700000005,54.8713245,149.74166979999998,-25911.3675,-23241.349400000003,-1488.0683000000001
6876.27337,58.6750757,149.7047427,-22694.7423,-24270.0413,-1111.1870000000001
6877.02866,62.4786404,149.6511435,-19364.187700000002,-25190.7485,-688.8302
6877.79093,66.2819167,149.584304,-15928.0017,-26009.1552,-238.4387
6878.55455,70.0848168,149.5069896,-12386.5581,-26729.578800000003,226.1789
6879.31416,73.8872633,149.4214829,-8739.8109,-27352.275100000003,686.8553
6880.064770000001,77.6891876,149.32971659999998,-4979.0654,-27869.0374,1130.6570000000002
6880.80171,81.4905286,149.2333718,-1108.3285,-28261.4146,1543.4418
6881.52065,85.2912309,149.1339548,2871.4317,-28509.0063,1918.0348000000001
6882.21773,89.0912436,149.03285879999999,6946.489100000001,-28578.7605,2251.9624
6882.88951,92.8905199,148.9314164,11083.6667,-28436.3925,2542.0786000000003
6883.532980000001,96.6890162,148.83094789999998,15235.9596,-28058.9202,2787.3969
6884.14578,100.4866909,148.7328081,19348.9657,-27432.514600000002,2994.5846
6884.72608,104.283505,148.6384358,23368.9864,-26549.4455,3171.2835
6885.2726,108.07942109999999,148.5494096,27229.6542,-25415.2851,3317.7527
6885.78449,111.874402,148.46751559999998,30873.8652,-24054.947,3442.0214
6886.26138,115.66840930000001,148.3948326,34261.510200000004,-22506.2389,3545.0234
6886.70334,119.4614012,148.3338446,37371.4538,-20800.1685,3627.5741000000003
6887.110850000001,123.25333,148.2875933,40185.5183,-18966.168100000003,3688.0600000000004
6887.48467,127.0441376,148.259893,42699.2571,-17030.6009,3722.1321000000003
6887.825900000001,130.833749,148.2556426,44910.0206,-15007.0414,3727.0350000000003
6888.13586,134.6220639,148.281289,46811.9366,-12903.566200000001,3699.5835
6888.41604,138.4089423,148.34554219999998,48391.1125,-10728.294300000001,3635.2984
6888.66796,142.19418100000001,148.46051409999998,49624.957200000004,-8497.7196,3510.1647000000003
6888.8932,145.9774765,148.64361409999998,50517.600000000006,-6287.0837,3279.8237000000004
6889.09338,149.7583588,148.9208564,51046.4679,-4090.7715000000003,2999.1715
6889.2702,153.5360708,149.332982,51178.9199,-1683.3475,3038.0261
6889.42529,157.3093266,149.947641,50879.6615,690.2413,2799.4373
6889.56019,161.07578230000001,150.88598349999998,50134.5782,2972.4461,2622.096
6889.67619,164.8307241,152.38823589999998,48997.022600000004,5086.215700000001,2561.7328
6889.77434,168.5632026,155.00529799999998,47498.0415,6983.0388,2740.1458000000002
6889.8553600000005,172.2412063,160.3193298,45680.958900000005,8492.8838,3531.2672000000002
6889.919650000001,175.72249699999998,175.0072988,43602.050800000005,8806.3945,6131.5939
6889.967350000001,177.74365089999998,-123.12227349999999,41291.454900000004,-1027.0886,11997.2095
6889.998320000001,175.4635567,-66.905672,38776.7888,-11277.6589,6625.4885
6890.01224,171.9525324,-53.5986225,36232.5918,-13224.839100000001,3946.8056
6890.00849,168.2679781,-48.6174155,33649.4056,-14037.771200000001,2794.0697
6889.986150000001,164.5332944,-46.124354,31070.6823,-14447.103700000001,2065.5877
6889.94396,160.7775307,-44.680900099999995,28554.968,-14580.834,1447.0458
6889.880480000001,157.010855,-43.7748704,26171.819600000003,-14475.423900000002,869.2032
6889.7940499999995,153.2377052,-43.179811799999996,23981.3269,-14185.1965,302.4375
6889.68285,149.4603075,-42.780442,22028.3096,-13771.7211,-262.3711
6869.9083200000005,9.135082300000008,-34.084545999999996,-44807.0026,-3672.3205000000003,-1795.2614
6869.73292,5.52313070000001,-24.4914615,-45229.112100000006,-2810.7502,-1182.1843000000001
6869.6295,2.567810200000011,12.548526899999999,-45682.3568,-2113.0445,60.3352
6869.59887,3.4231115999999986,89.8862869,-46165.396100000005,-884.5076,1035.6528
6869.6412,6.773326100000006,111.4119619,-46630.681800000006,-1382.2178000000001,460.06820000000005
6869.75594,10.443857199999997,118.18010459999999,-47014.8451,-2523.3645,-121.8516
6869.94185,14.188197700000003,121.300118,-47237.375100000005,-3958.9118000000003,-677.9142
6870.1970200000005,17.960174600000002,123.0300807,-47282.7252,-5566.3027,-726.4751
6870.51889,21.745328200000003,124.08952409999999,-47073.261900000005,-7340.161700000001,-1485.3843000000002
6870.9043,25.537706900000003,124.7758023,-46532.9603,-9249.8186,-1928.3417000000002
6871.349520000001,29.3344078,125.2335852,-45644.313,-11241.1037,-2275.1462
6871.85021,33.133838700000005,125.54159969999999,-44390.3105,-13272.868400000001,-2552.4968000000003
6872.40154,36.9350448,125.74634379999999,-42769.744600000005,-15302.884100000001,-2753.1052
6872.998350000001,40.737412400000004,125.87705779999999,-40796.896400000005,-17308.9011,-2873.9592000000002
6873.63519,44.5405231,125.95306919999999,-38466.856700000004,-19266.7367,-2910.913
6874.306390000001,48.3440778,125.9876869,-35791.162000000004,-21143.885700000003,-2868.3183000000004
6875.00615,52.147852400000005,125.9903969,-32784.9972,-22916.8669,-2750.1669
6875.72859,55.9516731,125.9681663,-29471.9349,-24560.9074,-2564.1237
6876.46787,59.7554,125.92625149999999,-25868.146800000002,-26055.7792,-2319.7493
6877.21821,63.558918000000006,125.8687183,-22006.7462,-27372.043800000003,-2025.4747
6877.974,67.3621292,125.7987871,-17919.9389,-28491.4872,-1695.1969000000001
6878.729780000001,71.1649497,125.7190708,-13647.665500000001,-29395.176300000003,-1343.0829
6879.480280000001,74.9673056,125.6317414,-9232.9271,-30073.0318,-983.9085
6880.22051,78.7691305,125.5386515,-4715.158,-30516.9604,-629.5857
6880.94578,82.5703644,125.44142649999999,-135.2612,-30722.3725,-293.1001
6881.6519100000005,86.3709516,125.34153579999999,4471.6111,-30687.3286,15.902000000000001
6882.3352700000005,90.1708408,125.24035169999999,9067.5571,-30406.278100000003,289.81620000000004
6882.99276,93.9699847,125.1392001,13618.2036,-29879.9082,517.9594000000001
6883.62178,97.7683395,125.039407,18082.515900000002,-29093.1522,697.224
6884.22029,101.5658642,124.9423475,22403.273800000003,-28054.6711,822.8861
6884.786690000001,105.3625206,124.8494959,26540.1434,-26773.6336,892.6218
6885.319850000001,109.1582707,124.7624841,30440.595500000003,-25264.3555,905.3761000000001
6885.81917,112.9530764,124.68317309999999,34064.065500000004,-23554.933500000003,859.5118
6886.28453,116.7468982,124.6137457,37369.692500000005,-21674.0186,755.0505
6886.7162,120.5396926,124.55682859999999,40337.0414,-19665.2465,599.4933
6887.1147599999995,124.33140879999999,124.51566109999999,42955.538,-17554.1165,397.5007
6887.481110000001,128.1219845,124.4943335,45222.4853,-15376.578500000001,144.6528
6887.81631,131.9113385,124.4981349,47142.420000000006,-13140.736,-151.818
6888.12153,135.6993601,124.53407689999999,48703.854900000006,-10856.0048,-486.8007
6888.39809,139.4858922,124.6117067,49893.0029,-8516.7863,-940.1092000000001
6888.64747,143.2707058,124.7444202,50672.3706,-6214.3662,-1356.9716
6888.87124,147.05345599999998,124.95167269999999,51121.556300000004,-3998.0378,-1444.2254
6889.07103,150.8336051,125.2628986,51202.226800000004,-1753.3301000000001,-1845.0908000000002
6889.24845,154.6102753,125.72490479999999,50911.397000000004,383.85540000000003,-2193.5665
6889.405,158.3819497,126.41694179999999,50274.4513,2447.5639,-2488.5133
6889.54196,162.1457941,127.4846381,49320.046800000004,4404.0653,-2670.8538000000003
6889.66054,165.89590629999998,129.2273004,48093.6887,6239.557400000001,-2664.6963
6889.7617199999995,169.61781789999998,132.36904959999998,46642.993,7969.3707,-2306.8766
6889.84617,173.2651396,139.1809839,45005.3666,9593.670900000001,-1102.8246000000001
6889.9142,176.5902879,160.80300979999998,43215.5893,10374.7818,3248.1055
6889.96588,177.4329619,-122.16518269999999,41284.868200000004,-1404.6371000000001,11869.607600000001
6890.000980000001,174.5002298,-85.163338,39176.034100000004,-9055.8073,9273.3524
6890.0190600000005,170.9115526,-75.53104859999999,37019.2476,-11491.655,7480.9048
6890.01936,167.2074566,-71.5211678,34748.2528,-12810.953500000001,6520.71
6890.0008,163.4652036,-69.40862229999999,32376.9277,-13734.423200000001,5787.4892
6889.96196,159.70574499999998,-68.15086819999999,29951.9772,-14388.2014,5113.5298
6889.90126,155.93698460000002,-67.3487239,27525.8799,-14820.0501,4464.8427
6889.817,152.16253369999998,-66.8174092,25157.558500000003,-15059.1769,3824.4147000000003
6889.70736,148.3842598,-66.4598355,22902.016600000003,-15144.9693,3188.67
6869.886820000001,8.091816500000007,-56.008186599999995,-45275.7057,-2293.8815,-1972.26
6869.73183,4.5577571000000034,-42.745067399999996,-45457.7388,-1933.0822,-1495.6784
6869.649060000001,2.2588359000000082,13.575914,-45729.2505,-2040.6402,101.6063
6869.63911,4.2972924000000035,75.5851409,-46099.308600000004,-1385.9170000000001,1253.5262
6869.7019199999995,7.801720099999997,90.22533179999999,-46534.780900000005,-1791.0172,1088.7017
6869.836770000001,11.502265300000005,95.51591959999999,-46975.1376,-2658.2466,826.3100000000001
6870.042270000001,15.256829199999999,98.1203122,-47343.5472,-3805.1278,544.5187000000001
6870.316350000001,19.033397100000002,99.61479949999999,-47596.948300000004,-5175.822700000001,390.70640000000003
6870.65625,22.8209607,100.5479567,-47637.1716,-6815.1853,127.32430000000001
6871.058660000001,26.614729000000004,101.1589444,-47382.774000000005,-8630.131300000001,-136.7619
6871.5197800000005,30.412275800000003,101.5683619,-46789.310300000005,-10592.7346,-340.8364
6872.03531,34.212233000000005,101.84354739999999,-45823.4259,-12671.253400000001,-509.7855
6872.60045,38.013763100000006,102.0250525,-44453.575600000004,-14826.973,-645.143
6873.21002,41.816317500000004,102.13877,-42659.9125,-17021.2696,-744.2709
6873.85859,45.6195169,102.202029,-40436.7145,-19206.0173,-810.9895
6874.5406,49.4230863,102.226886,-37786.3958,-21343.0828,-846.3548000000001
6875.25024,53.2268187,102.22201059999999,-34716.0164,-23392.941000000003,-856.8699
6875.98148,57.0305514,102.1938203,-31242.1051,-25314.5396,-843.9183
6876.72831,60.8341516,102.14719199999999,-27389.8492,-27069.8335,-810.7221000000001
6877.4849,64.637508,102.08592449999999,-23186.0752,-28617.997600000002,-760.0032
6878.24562,68.4405264,102.01304859999999,-18675.5741,-29916.2481,-689.8031000000001
6879.00509,72.24312520000001,101.9310398,-13915.6638,-30927.3103,-605.9251
6879.758140000001,76.0452327,101.8419706,-8972.9548,-31628.0435,-515.7728000000001
6880.49991,79.8467846,101.7476231,-3910.4828,-31999.7249,-429.72740000000005
6881.225850000001,83.647723,101.64957319999999,1198.0287,-32032.306,-360.13
6881.93179,87.4479944,101.54925829999999,6283.4262,-31723.074200000003,-322.1523
6882.61405,91.2475492,101.4480335,11275.0254,-31075.266900000002,-329.94120000000004
6883.269560000001,95.0463406,101.3472206,16097.845000000001,-30098.792400000002,-399.47860000000003
6883.89593,98.8443255,101.2481548,20684.416800000003,-28817.193300000003,-540.5961
6887.80038,131.8584598,-41.847339999999996,16135.102200000001,-12040.2899,-2828.7214000000004
6888.106070000001,135.6465274,-41.8120907,17048.8043,-12209.786900000001,-2326.4626000000003
6888.383,139.4331101,-41.7353366,18120.4424,-12511.6561,-1812.8796
6888.63259,143.21798139999999,-41.6037548,19389.496300000003,-12909.589600000001,-1296.5188
6888.85628,147.0007999,-41.3980068,20891.732200000002,-13358.9269,-789.4121
6889.0555,150.7810319,-41.0888527,22639.957700000003,-13795.9467,-312.5579
6889.23176,154.5578061,-40.6298305,24616.9211,-14162.7702,107.7688
6889.38659,158.3296182,-39.942350399999995,26791.499200000002,-14406.119200000001,438.2517
6889.52146,162.0936638,-38.8821845,29110.804900000003,-14486.768900000001,629.4697
6889.637600000001,165.8441128,-37.1534421,31512.439000000002,-14390.322600000001,611.9123000000001
6889.73599,169.5667125,-34.0422207,33947.5287,-14098.730300000001,159.6575
6889.817400000001,173.2159848,-27.3196241,36379.181000000004,-13506.6847,-1118.0988
6889.882259999999,176.55151990000002,-6.1319931,38736.9731,-11749.980800000001,-5313.5478
