time_stamp,radius,colat,lon,X,Y,Z,flags_b,flags_q
6845.277083333333,6869.431310000001,6.835202100000004,20.4123605,3716.2199,733.8071,45199.1143,0,0
6845.277777777777,6869.36379,3.4727955000000037,41.415836,2038.7281,1051.6338,45769.0274,0,0
6845.278472222222,6869.3700499999995,2.5378264,118.1623597,201.4931,797.0392,46203.545900000005,0,0
6845.279166666666,6869.4501900000005,5.464466200000004,156.21173869999998,1249.7715,63.4636,46461.1756,0,0
6845.279861111111,6869.60363,9.072944399999997,165.9829612,3020.4472,-122.0694,46488.2131,0,0
6845.280555555555,6869.82908,12.798897300000007,170.0222044,4944.4076000000005,-169.4978,46240.1673,0,0
6845.28125,6870.12452,16.5631238,172.1428411,6796.406,134.1933,45721.622800000005,0,0
6845.281944444445,6870.48728,20.344272099999998,173.4027652,8930.5841,45.3755,44823.735,0,0
6845.282638888889,6870.914060000001,24.134267300000005,174.2051032,10957.610200000001,112.2812,43537.5719,0,0
6845.283333333334,6871.40098,27.9293812,174.73590629999998,12888.031700000001,200.6988,41866.0242,0,0
6845.284027777778,6871.943719999999,31.727646800000002,175.0927326,14652.9995,314.12330000000003,39862.5391,0,0
6845.284722222223,6872.53751,35.5279205,175.3316337,16215.9603,452.19030000000004,37591.074400000005,0,0
6845.285416666667,6873.17716,39.3294859,175.48711029999998,17567.6065,618.4649000000001,35124.4441,0,0
6845.2861111111115,6873.8571600000005,43.131864900000004,175.58157799999998,18705.451,814.1370000000001,32527.101400000003,0,0
6845.2868055555555,6874.57179,46.9347225,175.6302531,19656.929,1042.4648,29870.515300000003,0,0
6845.2875,6875.31518,50.7378128,175.64385,20464.364700000002,1302.1591,27197.1827,0,0
6845.288194444444,6876.0813,54.5409491,175.6301543,21172.5559,1590.7971,24526.585300000002,0,0
6845.288888888889,6876.86405,58.343983800000004,175.5949839,21826.188400000003,1900.4733,21859.7006,0,0
6845.289583333333,6877.65734,62.1467969,175.5427978,22455.4998,2220.6816,19174.6099,0,0
6845.290277777778,6878.45525,65.9492881,175.4770978,23083.1945,2542.4917,16450.4733,0,0
6845.290972222222,6879.251990000001,69.75137190000001,175.4006992,23723.920000000002,2860.3119,13655.1365,0,0
6845.291666666667,6880.042020000001,73.552974,175.3159208,24382.144200000002,3167.4835000000003,10746.5969,0,0
6845.292361111111,6880.820110000001,77.3540289,175.2247213,25038.9957,3459.4125000000004,7677.8284,0,0
6845.293055555556,6881.581440000001,81.154478,175.1288008,25655.0963,3733.4016,4420.3881,0,0
6845.29375,6882.3216,84.9542689,175.0296785,26183.2264,3991.1297000000004,963.7889,0,0
6845.294444444445,6883.036679999999,88.7533545,174.92875519999998,26569.490100000003,4234.0044,-2684.8273,0,0
6845.295138888889,6883.72322,92.5516918,174.82736699999998,26760.247600000002,4465.2268,-6490.534900000001,0,0
6845.295833333334,6884.37828,96.3492422,174.726833,26712.6666,4685.8105000000005,-10399.5596,0,0
6845.296527777778,6884.99934,100.14597,174.62850229999998,26398.3516,4900.8072,-14340.9282,0,0
6845.297222222222,6885.58431,103.94184179999999,174.5338033,25816.1463,5112.4667,-18236.2186,0,0
6845.297916666666,6886.131530000001,107.7368244,174.44429889999998,24973.432500000003,5319.4400000000005,-22017.9738,0,0
6845.298611111111,6886.64,111.530884,174.361753,23898.018200000002,5521.0446,-25620.062700000002,0,0
6845.299305555555,6887.109280000001,115.32398599999999,174.2882137,22630.7907,5716.6958,-28997.9974,0,0
6845.3,6887.53945,119.1160933,174.22612239999998,21207.8105,5907.1173,-32129.582100000003,0,0
6845.300694444444,6887.9309299999995,122.9071629,174.1784619,19664.572200000002,6090.533,-35000.444,0,0
6845.301388888889,6888.28449,126.69714139999999,174.1489655,18025.961300000003,6263.109100000001,-37611.527200000004,0,0
6845.302083333333,6888.60128,130.4859593,174.1424165,16308.768900000001,6419.1985,-39964.9365,0,0
6845.302777777778,6888.88277,134.2735226,174.16509539999998,14525.249,6559.837100000001,-42070.8686,0,0
6845.303472222222,6889.13055,138.0596987,174.22546509999998,12662.604800000001,6679.9597,-43937.347700000006,0,0
6845.304166666667,6889.34644,141.8442946,174.3352602,10704.9864,6773.7946,-45541.1221,0,0
6845.304861111111,6889.53239,145.6270212,174.5112921,8653.8577,6834.9255,-46858.1691,0,0
6845.305555555556,6889.69038,149.407432,174.77858279999998,6538.3297,6785.1066,-47853.847,0,0
6845.30625,6889.8223,153.1848078,175.1761302,4253.7569,6916.3563,-48467.8617,0,0
6845.3069444444445,6889.92992,156.9579302,175.7682955,2022.8902,7041.7642000000005,-48699.7926,0,0
6845.3076388888885,6890.01491,160.7245914,176.66941749999998,-205.5456,7071.413100000001,-48505.053100000005,0,18
6845.308333333333,6890.07878,164.48039690000002,178.10372139999998,-2354.3329000000003,7151.6683,-47833.255000000005,0,18
6845.309027777777,6890.1228200000005,168.2153003,-179.4228896,-4262.3661,7387.845,-46694.5962,0,18
6845.309722222222,6890.14799,171.900715,-174.4951275,-5628.8577000000005,8010.7084,-45127.323800000006,0,18
6845.310416666666,6890.1550099999995,175.4161583,-161.40997779999998,-5397.6544,9701.0732,-43177.9659,0,18
6845.311111111111,6890.14426,177.7380693,-106.23566609999999,4299.557400000001,11533.970000000001,-40888.0458,0,18
