Br;Btheta;Blambda;r
47028.461800000005;-7013.8068;-6078.8021;6888.62605
47452.0705;-5035.2406;-6781.5707;6888.86902
47665.9604;-3304.9691000000003;-7008.9494;6889.08596
47633.896;-1540.9368000000002;-7435.1767;6889.27851
47395.8546;130.46200000000002;-7729.8509;6889.448240000001
46964.681800000006;1768.8746;-7908.2982;6889.596560000001
46368.884300000005;3371.5373;-7927.4538;6889.72475
45634.2223;4993.9642;-7725.7808;6889.83396
44783.8069;6746.2784;-7121.2699;6889.92509
43813.3216;8912.211500000001;-5494.7801;6889.998799999999
42738.922;10996.5092;1373.6115;6890.05554
41516.7084;43.251400000000004;11806.1298;6890.09539
40170.171;-6134.2648;10930.6038;6890.1181400000005
38642.67;-8688.840400000001;10078.4442;6890.12329
36908.047900000005;-10441.640000000001;9435.9055;6890.11003
34986.7725;-11817.3819;8897.162400000001;6890.07725
32919.8795;-12927.9662;8404.1244;6890.02367
30761.9527;-13819.728200000001;7938.6171;6889.94784
28572.167100000002;-14521.2291;7478.653700000001;6889.8480899999995
-45635.5248;-1191.4768000000001;-1473.9089000000001;6869.79856
-45631.2039;-1170.2928;-1504.1278;6869.668600000001
-45717.3398;-2147.1931;157.0012;6869.611360000001
-45897.6365;-2191.9739;1353.7408;6869.627219999999
-46141.8978;-2739.6283000000003;1633.8362000000002;6869.71587
-46403.3916;-3605.3723;1755.5047000000002;6869.87639
-46562.5147;-4599.9762;2110.7626;6870.1072
-46611.8642;-6038.3763;2090.947;6870.40602
-46474.4475;-7569.5568;2010.383;6870.76988
-46065.8485;-9285.8543;1965.3839;6871.19525
-45343.849200000004;-11149.4733;1890.9687000000001;6871.6781200000005
-44274.1863;-13125.979000000001;1778.2698;6872.214
-42826.2744;-15176.8129;1631.9833;6872.79796
-40985.518000000004;-17262.16;1455.155;6873.42475
-38742.0438;-19342.5504;1255.3768;6874.088860000001
-36097.8951;-21377.924600000002;1037.403;6874.78449
-33053.2644;-23334.3459;802.2452000000001;6875.50565
-29622.7122;-25162.0157;555.9209000000001;6876.24612
-25830.2827;-26825.8718;305.5759;6876.99995
-21697.5368;-28288.0361;51.2516;6877.76168
-17250.9643;-29495.4736;-212.0745;6878.5258300000005
-12549.259100000001;-30402.433100000002;-487.28770000000003;6879.28714
-7648.4709;-30964.4097;-777.6940000000001;6880.04072
-2638.1143;-31148.0802;-1088.7425;6880.78204
2391.8592000000003;-30933.228000000003;-1430.335;6881.50692
7335.926;-30315.495700000003;-1808.3683;6882.211560000001
12094.296100000001;-29312.942300000002;-2226.8699;6882.89256
16567.767200000002;-27957.9448;-2691.3410000000003;6883.54692
20671.4862;-26307.187700000002;-3201.2353000000003;6884.1720700000005
24343.5584;-24427.856200000002;-3753.7638;6884.765850000001
27540.864800000003;-22398.2854;-4344.604600000001;6885.32662
30252.0367;-20304.9363;-4969.1196;6885.8532000000005
32497.021200000003;-18222.6391;-5618.420300000001;6886.34488
34317.4897;-16215.6627;-6285.0472;6886.80142
35772.4914;-14330.3057;-6960.169400000001;6887.22299
36929.3084;-12591.1887;-7633.9658;6887.61013
37853.7672;-11004.158000000001;-8293.819800000001;6887.96371
38608.2656;-9563.1162;-8926.9999;6888.284850000001
39244.3326;-8244.484400000001;-9516.4949;6888.574850000001
39800.8168;-7017.9249;-10056.528;6888.835140000001
40292.3511;-5852.9256000000005;-10524.869700000001;6889.06728
40725.4147;-4726.9752;-10941.140800000001;6889.27293
41123.542;-3582.9042;-11244.157500000001;6889.45375
41494.687000000005;-2458.0205;-11426.6878;6889.61133
41842.8447;-1255.1293;-11475.6803;6889.74708
42134.4508;59.337900000000005;-11437.6199;6889.86225
42374.9895;1634.857;-11189.8189;6889.95793
42540.4801;3654.6767;-10600.3981;6890.03499
42590.1629;6838.4704;-8855.629700000001;6890.0941299999995
42483.316900000005;11205.0156;1092.3937;6890.13588
42183.3308;2116.0319;11306.5594;6890.160390000001
41664.0645;-2587.5085;11616.2018;6890.16746
40894.308000000005;-5261.2414;11282.3411;6890.15661
39864.9708;-7275.5087;10910.5023;6890.126990000001
38580.5616;-8986.9722;10537.846800000001;6890.077520000001
37088.9893;-10459.8217;10157.037;6890.00694
35438.896700000005;-11747.774500000001;9757.333200000001;6889.91375
-46172.271700000005;-1516.8934000000002;412.7703;6869.81306
-46044.5541;-384.0158;-322.9053;6869.6635
-45802.1319;-506.6464;-1328.4060000000002;6869.5864599999995
-45484.423;-2722.4363000000003;-348.3752;6869.582469999999
-45100.1289;-4005.1685;487.7463;6869.651400000001
-44630.4864;-5228.7037;964.3661000000001;6869.7924
-44065.511900000005;-6466.399200000001;1295.6137;6870.00404
-43404.9401;-7722.7713;1570.5910000000001;6870.28428
-42650.865600000005;-9030.2353;1765.6778000000002;6870.63041
-41737.3811;-10417.8066;1796.3682000000001;6871.0391500000005
-40675.7453;-11824.480800000001;1834.8119000000002;6871.50665
-39460.0513;-13278.324;1829.679;6872.02855
-38042.7296;-14805.5645;1806.4157;6872.6
-36386.486600000004;-16375.774200000002;1764.9060000000002;6873.21575
-34467.452900000004;-17990.9474;1715.1638;6873.87021
-32245.374300000003;-19629.1071;1668.1132;6874.557600000001
-29681.087900000002;-21264.388600000002;1624.2233;6875.27195
-26747.129500000003;-22845.4051;1579.2546;6876.00742
-23424.118300000002;-24308.3743;1527.9429;6876.75832
-19723.3194;-25574.865700000002;1466.3153;6877.5188100000005
-15682.1272;-26558.9101;1385.0305;6878.28317
-11377.5215;-27177.4886;1275.5729000000001;6879.045929999999
-6921.2574;-27367.803200000002;1130.0124;6879.8019
-2445.0251000000003;-27090.875200000002;942.2065;6880.546270000001
1904.5185000000001;-26339.114400000002;703.4007;6881.27463
5979.4127;-25145.366700000002;406.3422;6881.983020000001
9653.1834;-23575.6073;52.066;6882.66784
12823.5413;-21715.253500000003;-361.7421;6883.32597
15411.2018;-19679.3223;-837.469;6883.95483
17393.510700000003;-17608.2611;-1369.1126000000002;6884.55228
18807.5062;-15632.3999;-1948.5263;6885.11667
19732.4304;-13859.9657;-2564.9399000000003;6885.6467999999995
20276.930500000002;-12370.598100000001;-3206.4860000000003;6886.141860000001
20575.4625;-11208.126400000001;-3858.3637000000003;6886.6015099999995
20761.342500000002;-10372.368400000001;-4508.0755;6887.02575
20945.7225;-9832.123800000001;-5144.663100000001;6887.41513
21211.0314;-9539.163400000001;-5760.6746;6887.770560000001
21615.009700000002;-9444.149000000001;-6355.9488;6888.093140000001
22207.1243;-9499.4361;-6927.616;6888.384190000001
23019.8479;-9647.6765;-7475.1337;6888.6451799999995
24067.727300000002;-9837.9706;-7999.146900000001;6888.87767
25357.4916;-10014.9035;-8497.6095;6889.08337
26881.9585;-10121.073900000001;-8973.3364;6889.263980000001
28625.2904;-10110.5933;-9430.8434;6889.42117
30560.301300000003;-9878.440700000001;-9892.6728;6889.55649
32636.383400000002;-9329.5274;-10374.6013;6889.67126
34792.298;-8447.8694;-10836.8464;6889.76658
36985.1938;-6964.6023000000005;-11310.9784;6889.84345
39102.0417;-4539.3641;-11837.0722;6889.90265
41067.4931;2021.9916;-11778.8804;6889.94478
42777.7513;11177.4109;1071.2002;6889.97019
44237.6244;7408.4339;7156.2425;6889.9789
45337.9381;4218.2376;8500.998800000001;6889.97066
45985.599;1514.4173;9049.8443;6889.94494
46214.0659;-994.629;9180.2199;6889.90091
46007.1005;-3354.2471;9149.9;6889.8374699999995
45403.9751;-5601.367;9005.3069;6889.75316
44435.2277;-7720.8042000000005;8812.188400000001;6889.6462599999995
-46249.9096;-1689.5432;610.9007;6869.78999
-46106.9812;-169.2131;-67.8865;6869.65884
-45785.0048;-610.4677;-1408.9882;6869.60026
-45330.9084;-2885.5156;-968.6951;6869.61458
-44757.3576;-4450.414400000001;-599.1088;6869.70147
-44069.477900000005;-5882.9443;-382.0768;6869.85988
-43276.2102;-7280.004;-239.9383;6870.08809
-42370.8288;-8616.462300000001;76.5896;6870.38375
-41402.1102;-9917.7311;81.38550000000001;6870.74398
-40301.4706;-11287.324700000001;125.027;6871.165390000001
-39060.767400000004;-12690.0782;194.26610000000002;6871.644
-37643.736600000004;-14147.3282;262.0314;6872.1754
-36016.594900000004;-15648.902300000002;322.1599;6872.75471
-34147.8052;-17195.9427;372.22380000000004;6873.37665
-31993.3207;-18774.805500000002;411.8847;6874.0356
-29512.4126;-20354.055500000002;432.85630000000003;6874.72583
18797.7268;-10122.7499;-3030.9643;6888.328570000001
19567.5531;-10718.4781;-2901.3053;6888.57555
20623.7239;-11407.5071;-2807.7206;6888.79596
21996.8901;-12124.597300000001;-2756.6894;6888.99145
23696.740100000003;-12794.9185;-2757.3513000000003;6889.1637
25707.8665;-13333.541200000001;-2828.4553;6889.31433
27983.9149;-13665.145400000001;-2992.3076;6889.4447900000005
30480.252800000002;-13600.4436;-3501.7768;6889.5563
33059.999800000005;-13327.6757;-4040.7742000000003;6889.64988
35710.622500000005;-12656.701200000001;-5025.6603000000005;6889.726390000001
38388.9829;-10439.8351;-7696.7871000000005;6889.78643
41003.138900000005;1815.2638000000002;-11846.0319;6889.83029
43458.3812;9906.777;-4036.0019;6889.85796
45673.642100000005;9098.408000000001;-897.1084000000001;6889.86925
47577.692;7348.490900000001;562.1364;6889.86369
49097.011300000006;5301.042100000001;1489.8962000000001;6889.84055
50192.0757;3067.0098000000003;2184.1656000000003;6889.79875
50843.6589;732.7218;2734.3722000000002;6889.736900000001
51078.2552;-1699.2865000000002;3087.6985;6889.65334
50848.523100000006;-4121.503000000001;3590.2428;6889.546230000001
-46778.6469;-2116.5666;-169.7306;6869.87589
-46462.8208;-856.2544;308.5903;6869.71503
-46139.96;282.55420000000004;-45.4219;6869.62661
-45861.8245;-443.785;-1105.7891;6869.61117
-45635.384600000005;-1430.3255000000001;-1559.0172;6869.668570000001
-45466.6819;-2401.9637000000002;-1949.6019000000001;6869.79803
-45305.037800000006;-3456.5417;-2320.5906;6869.99811
-45098.5615;-4612.8241;-2641.9532;6870.26667
-44777.974500000004;-5895.425700000001;-2928.4331;6870.60103
-44264.5236;-7333.463000000001;-3217.6281000000004;6870.99799
-43524.627100000005;-8867.934000000001;-3372.9424000000004;6871.45377
-42495.3079;-10451.8974;-3662.2543;6871.96408
-41154.1998;-12050.8914;-3861.0758;6872.52421
-39507.3246;-13601.131500000001;-4038.0288;6873.129
-37575.4116;-15059.076500000001;-4199.5923;6873.773
-35390.6138;-16388.7786;-4342.8435;6874.45056
-32992.3228;-17569.308100000002;-4463.0149;6875.15596
-30423.9252;-18579.681;-4564.2156;6875.88341
-27727.9182;-19416.2956;-4646.4428;6876.62708
-24943.2631;-20078.368700000003;-4710.7834;6877.3812800000005
-22105.4084;-20573.9538;-4748.7317;6878.140469999999
-19239.618300000002;-20914.7003;-4760.8005;6878.89929
-16364.1579;-21107.873600000003;-4740.109;6879.65254
-13495.980800000001;-21153.258100000003;-4685.9964;6880.39525
-10664.798700000001;-21054.232500000002;-4590.9758;6881.1228200000005
-7885.4978;-20819.7812;-4452.156;6881.83103
-5188.1349;-20447.3584;-4263.8504;6882.5162
-2610.4523;-19951.939000000002;-4021.1493;6883.175230000001
-183.4324;-19359.9149;-3721.7033;6883.805480000001
2075.4319;-18702.9756;-3370.9838;6884.4047
4152.9759;-18017.721;-2970.2304;6884.97117
6055.546600000001;-17343.9216;-2527.3104000000003;6885.50366
7799.7925000000005;-16713.546000000002;-2048.1739000000002;6886.00142
9409.9758;-16157.057;-1543.0436;6886.46431
10923.119;-15698.491100000001;-1017.1479;6886.892610000001
12383.999600000001;-15356.637900000002;-479.44300000000004;6887.28696
13843.275500000002;-15132.5751;68.9195;6887.6483
15348.4796;-15020.946600000001;626.8025;6887.97778
16947.987800000003;-15001.579600000001;1192.5159;6888.27675
18678.1548;-15040.0043;1759.9795000000001;6888.54669
20557.3449;-15092.618600000002;2325.4554000000003;6888.78916
22587.8545;-15112.3922;2876.3725;6889.005730000001
24745.6865;-15051.8811;3400.9654;6889.19791
26982.436700000002;-14876.7772;3880.1233;6889.36721
29239.233500000002;-14578.0643;4283.735900000001;6889.51507
31457.6313;-14170.519600000001;4565.1585000000005;6889.6428399999995
33581.8428;-13703.7011;4644.3469000000005;6889.751770000001
35583.1966;-13273.2751;4292.8991000000005;6889.84292
37433.298200000005;-13102.797900000001;2905.9338000000002;6889.91701
39188.985100000005;-12230.952800000001;-3660.7812000000004;6889.97438
40802.0149;435.4037;-12095.0853;6890.01508
42297.2093;4340.9822;-10525.6807;6890.038810000001
