time_stamp,radius,colat,lon,X,Y,Z,flags_b,flags_q,Kp10,dDst,Br,Btheta,Bphi
6832.273611111111,6884.759690000001,103.0921077,-160.2608228,24834.544700000002,5196.743600000001,-12597.4577,0,0,20.0,2.8665173453128867,12597.4577,-24834.544700000002,5196.743600000001
6832.274305555556,6885.30936,106.8880565,-160.3516634,24236.4964,5498.0623000000005,-16145.296900000001,0,0,20.0,2.833186678411253,16145.296900000001,-24236.4964,5498.0623000000005
6832.275,6885.82424,110.6830935,-160.435961,23440.4251,5804.1557,-19562.2036,0,0,20.0,2.7998560115532714,19562.2036,-23440.4251,5804.1557
6832.2756944444445,6886.3038,114.4771819,-160.5117402,22476.2693,6108.2356,-22808.8643,0,0,20.0,2.766525344651637,22808.8643,-22476.2693,6108.2356
6832.2763888888885,6886.74792,118.270282,-160.5766593,21376.460600000002,6408.5886,-25861.988400000002,0,0,20.0,2.7331946777936555,25861.988400000002,-21376.460600000002,6408.5886
6832.277083333333,6887.15689,122.062349,-160.6278721,20168.2485,6701.7165,-28710.881,0,0,20.0,2.6998640108920218,28710.881,-20168.2485,6701.7165
6832.277777777777,6887.5313,125.85332869999999,-160.661835,18879.2664,6991.202200000001,-31357.7173,0,0,20.0,2.66653334403404,31357.7173,-18879.2664,6991.202200000001
6832.278472222222,6887.87208,129.6431524,-160.6740308,17521.6548,7275.102900000001,-33810.6492,0,0,20.0,2.6332026771324064,33810.6492,-17521.6548,7275.102900000001
6832.279166666666,6888.18042,133.43172859999999,-160.6585606,16092.969000000001,7557.192800000001,-36080.2741,0,0,20.0,2.5998720102744244,36080.2741,-16092.969000000001,7557.192800000001
6832.279861111111,6888.45779,137.2189309,-160.6075225,14588.322900000001,7841.9654,-38162.356,0,0,20.0,2.5665413433727906,38162.356,-14588.322900000001,7841.9654
6832.280555555555,6888.7058,141.0045789,-160.5100315,12997.4194,8127.4182,-40050.9011,0,0,20.0,2.533210676514809,40050.9011,-12997.4194,8127.4182
6832.28125,6888.92617,144.788406,-160.3506119,11300.043300000001,8415.8124,-41723.6765,0,0,20.0,2.4998800096131752,41723.6765,-11300.043300000001,8415.8124
6832.281944444445,6889.120629999999,148.57000490000001,-160.1064371,9493.3966,8703.6258,-43139.391500000005,0,0,20.0,2.4665493427115415,43139.391500000005,-9493.3966,8703.6258
6832.282638888889,6889.29093,152.3487276,-159.7423197,7579.8324,9017.616100000001,-44247.4435,0,0,20.0,2.43321867585356,44247.4435,-7579.8324,9017.616100000001
6832.283333333334,6889.4387400000005,156.1234928,-159.2009855,5571.290800000001,9386.5581,-45014.3546,0,0,20.0,2.3998880089519257,45014.3546,-5571.290800000001,9386.5581
6832.284027777778,6889.56571,159.8923765,-158.3825028,3635.4794,9643.9832,-45404.617900000005,0,0,20.0,2.366557342093944,45404.617900000005,-3635.4794,9643.9832
6832.284722222223,6889.6732999999995,163.6516421,-157.09566479999998,1837.0189,9727.6093,-45369.1886,0,0,20.0,2.3332266751923103,45369.1886,-1837.0189,9727.6093
6832.285416666667,6889.7627,167.3930499,-154.92422299999998,-1.169,10181.698400000001,-44816.964100000005,0,0,20.0,2.2998960083343287,44816.964100000005,1.169,10181.698400000001
6832.2861111111115,6889.8347300000005,171.0944875,-150.7679078,-1282.9187000000002,10622.923,-43841.5716,0,0,20.0,2.2665653414326945,43841.5716,1282.9187000000002,10622.923
6832.2868055555555,6889.8899599999995,174.67252739999998,-140.61213659999999,-1176.4083,11369.4028,-42453.078,0,0,20.0,2.233234674574713,42453.078,1176.4083,11369.4028
