# Expanded and assembled Kp and ap
# created @ 2019-01-15 17:08:01
#   Flags: Definitive, Quicklook
#
#   MJD2000 Kp  ap Flag
  -699.9375 20   7    D
  -699.8125 17   6    D
  -699.6875 17   6    D
  -699.5625 10   4    D
  -699.4375  7   3    D
  -699.3125 30  15    D
  -699.1875 43  32    D
  -699.0625 37  22    D
  -698.9375 20   7    D
  -698.8125 27  12    D
  -698.6875 27  12    D
  -698.5625 30  15    D
  -698.4375  7   3    D
  -698.3125  3   2    D
  -698.1875 20   7    D
  -698.0625 27  12    D
  -697.9375 10   4    D
  -697.8125 13   5    D
  -697.6875 10   4    D
  -697.5625 10   4    D
  -697.4375  3   2    D
  -697.3125  0   0    D
  -697.1875  0   0    D
  -697.0625  7   3    D
  -696.9375  0   0    D
  -696.8125  0   0    D
  -696.6875  0   0    D
  -696.5625  0   0    D
  -696.4375 17   6    D
  -696.3125 20   7    D
  -696.1875 10   4    D
  -696.0625 13   5    D
  -695.9375 33  18    D
  -695.8125 30  15    D
  -695.6875 23   9    D
  -695.5625 20   7    D
  -695.4375 20   7    D
  -695.3125 17   6    D
  -695.1875  7   3    D
  -695.0625  0   0    D
  -694.9375  0   0    D
  -694.8125 13   5    D
  -694.6875  0   0    D
  -694.5625  7   3    D
  -694.4375 13   5    D
  -694.3125 10   4    D
  -694.1875  7   3    D
  -694.0625 10   4    D
  -693.9375 10   4    D
  -693.8125  7   3    D
  -693.6875  7   3    D
  -693.5625  3   2    D
  -693.4375  3   2    D
  -693.3125 10   4    D
  -693.1875  7   3    D
  -693.0625  0   0    D
  -692.9375  0   0    D
  -692.8125 10   4    D
  -692.6875  7   3    D
  -692.5625  3   2    D
  -692.4375  3   2    D
  -692.3125  3   2    D
  -692.1875 10   4    D
  -692.0625 10   4    D
  -691.9375  7   3    D
  -691.8125 10   4    D
  -691.6875  3   2    D
  -691.5625 10   4    D
  -691.4375 13   5    D
  -691.3125 13   5    D
  -691.1875 33  18    D
  -691.0625 40  27    D
  -690.9375 40  27    D
  -690.8125 30  15    D
  -690.6875 17   6    D
  -690.5625 23   9    D
  -690.4375 30  15    D
  -690.3125 20   7    D
  -690.1875 23   9    D
  -690.0625 17   6    D
  -689.9375 33  18    D
  -689.8125 23   9    D
  -689.6875 23   9    D
  -689.5625 13   5    D
  -689.4375 17   6    D
  -689.3125 17   6    D
  -689.1875 17   6    D
  -689.0625 23   9    D
  -688.9375 33  18    D
  -688.8125 30  15    D
  -688.6875 10   4    D
  -688.5625 20   7    D
  -688.4375 33  18    D
  -688.3125 43  32    D
  -688.1875 33  18    D
  -688.0625 40  27    D
  -687.9375 37  22    D
  -687.8125 17   6    D
  -687.6875 17   6    D
  -687.5625 23   9    D
  -687.4375 23   9    D
  -687.3125 23   9    D
  -687.1875 27  12    D
  -687.0625 20   7    D
  -686.9375 17   6    D
  -686.8125 17   6    D
  -686.6875 17   6    D
  -686.5625 10   4    D
  -686.4375 17   6    D
  -686.3125 17   6    D
  -686.1875 27  12    D
  -686.0625 13   5    D
  -685.9375  7   3    D
  -685.8125  3   2    D
  -685.6875 17   6    D
  -685.5625 13   5    D
  -685.4375  7   3    D
  -685.3125 10   4    D
  -685.1875 23   9    D
  -685.0625 30  15    D
  -684.9375 27  12    D
  -684.8125 20   7    D
  -684.6875  3   2    D
  -684.5625  7   3    D
  -684.4375  0   0    D
  -684.3125  0   0    D
  -684.1875  0   0    D
  -684.0625  0   0    D
  -683.9375  3   2    D
  -683.8125  7   3    D
  -683.6875  7   3    D
  -683.5625  3   2    D
  -683.4375  3   2    D
  -683.3125 10   4    D
  -683.1875  7   3    D
  -683.0625 10   4    D
  -682.9375  3   2    D
  -682.8125  7   3    D
  -682.6875  7   3    D
  -682.5625 13   5    D
  -682.4375 30  15    D
  -682.3125 33  18    D
  -682.1875 40  27    D
  -682.0625 57  67    D
  -681.9375 67 111    D
  -681.8125 53  56    D
  -681.6875 40  27    D
  -681.5625 33  18    D
  -681.4375 30  15    D
  -681.3125 40  27    D
  -681.1875 37  22    D
  -681.0625 27  12    D
  -680.9375 10   4    D
  -680.8125 10   4    D
  -680.6875 10   4    D
  -680.5625 20   7    D
  -680.4375  7   3    D
  -680.3125 13   5    D
  -680.1875 23   9    D
  -680.0625 23   9    D
  -679.9375 40  27    D
  -679.8125 17   6    D
  -679.6875 17   6    D
  -679.5625 13   5    D
  -679.4375  7   3    D
  -679.3125 17   6    D
  -679.1875 27  12    D
  -679.0625 20   7    D
  -678.9375 20   7    D
  -678.8125  3   2    D
  -678.6875  3   2    D
  -678.5625  7   3    D
  -678.4375  7   3    D
  -678.3125 10   4    D
  -678.1875 20   7    D
  -678.0625 17   6    D
  -677.9375 17   6    D
  -677.8125 17   6    D
  -677.6875 17   6    D
  -677.5625 23   9    D
  -677.4375 13   5    D
  -677.3125 27  12    D
  -677.1875 23   9    D
  -677.0625  3   2    D
  -676.9375 17   6    D
  -676.8125 23   9    D
  -676.6875 20   7    D
  -676.5625 17   6    D
  -676.4375 23   9    D
  -676.3125 23   9    D
  -676.1875 30  15    D
  -676.0625 27  12    D
  -675.9375 13   5    D
  -675.8125  3   2    D
  -675.6875 10   4    D
  -675.5625  7   3    D
  -675.4375  7   3    D
  -675.3125  7   3    D
  -675.1875  0   0    D
  -675.0625 10   4    D
  -674.9375  0   0    D
  -674.8125  3   2    D
  -674.6875 10   4    D
  -674.5625  7   3    D
  -674.4375  3   2    D
  -674.3125 10   4    D
  -674.1875 17   6    D
  -674.0625  7   3    D
  -673.9375  3   2    D
  -673.8125  0   0    D
  -673.6875  3   2    D
  -673.5625  3   2    D
  -673.4375  3   2    D
  -673.3125  3   2    D
  -673.1875 10   4    D
  -673.0625  7   3    D
  -672.9375  3   2    D
  -672.8125  0   0    D
  -672.6875 23   9    D
  -672.5625 13   5    D
  -672.4375 13   5    D
  -672.3125 13   5    D
  -672.1875 20   7    D
  -672.0625 10   4    D
  -671.9375 13   5    D
  -671.8125 20   7    D
  -671.6875 23   9    D
  -671.5625 17   6    D
  -671.4375 33  18    D
  -671.3125 33  18    D
  -671.1875 23   9    D
  -671.0625 50  48    D
  -670.9375 40  27    D
  -670.8125 33  18    D
  -670.6875 17   6    D
  -670.5625 17   6    D
  -670.4375 30  15    D
  -670.3125 37  22    D
  -670.1875 30  15    D
  -670.0625 33  18    D
  -669.9375 37  22    D
  -669.8125 30  15    D
  -669.6875 37  22    D
  -669.5625 27  12    D
  -669.4375 30  15    D
  -669.3125 27  12    D
  -669.1875 30  15    D
  -669.0625 33  18    D
  -668.9375 30  15    D
  -668.8125 17   6    D
  -668.6875  7   3    D
  -668.5625  0   0    D
  -668.4375  0   0    D
  -668.3125  3   2    D
  -668.1875 13   5    D
  -668.0625  7   3    D
  -667.9375 20   7    D
  -667.8125 20   7    D
  -667.6875 10   4    D
  -667.5625 13   5    D
  -667.4375 27  12    D
  -667.3125 40  27    D
  -667.1875 23   9    D
  -667.0625 20   7    D
  -666.9375 27  12    D
  -666.8125 17   6    D
  -666.6875 27  12    D
  -666.5625 30  15    D
  -666.4375  7   3    D
  -666.3125  3   2    D
  -666.1875  7   3    D
  -666.0625 37  22    D
  -665.9375 33  18    D
  -665.8125 23   9    D
  -665.6875 17   6    D
  -665.5625 10   4    D
  -665.4375 23   9    D
  -665.3125 17   6    D
  -665.1875  7   3    D
  -665.0625 13   5    D
  -664.9375 17   6    D
  -664.8125 17   6    D
  -664.6875 13   5    D
  -664.5625 13   5    D
  -664.4375  7   3    D
  -664.3125  0   0    D
  -664.1875  0   0    D
  -664.0625  0   0    D
  -663.9375  7   3    D
  -663.8125  7   3    D
  -663.6875  0   0    D
  -663.5625  0   0    D
  -663.4375  3   2    D
  -663.3125  3   2    D
  -663.1875  3   2    D
  -663.0625  0   0    D
  -662.9375  0   0    D
  -662.8125  0   0    D
  -662.6875 13   5    D
  -662.5625 13   5    D
  -662.4375  7   3    D
  -662.3125  0   0    D
  -662.1875  0   0    D
  -662.0625  3   2    D
  -661.9375 10   4    D
  -661.8125 20   7    D
  -661.6875 37  22    D
  -661.5625 50  48    D
  -661.4375 40  27    D
  -661.3125 60  80    D
  -661.1875 73 154    D
  -661.0625 60  80    D
  -660.9375 43  32    D
  -660.8125 40  27    D
  -660.6875 53  56    D
  -660.5625 43  32    D
  -660.4375 30  15    D
  -660.3125 40  27    D
  -660.1875 17   6    D
  -660.0625 40  27    D
  -659.9375 33  18    D
  -659.8125 37  22    D
  -659.6875 30  15    D
  -659.5625 23   9    D
  -659.4375 30  15    D
  -659.3125 23   9    D
  -659.1875 30  15    D
  -659.0625 23   9    D
  -658.9375 27  12    D
  -658.8125 30  15    D
  -658.6875 23   9    D
  -658.5625 23   9    D
  -658.4375 20   7    D
  -658.3125 33  18    D
  -658.1875 27  12    D
  -658.0625 30  15    D
  -657.9375 17   6    D
  -657.8125  7   3    D
  -657.6875 13   5    D
  -657.5625 23   9    D
  -657.4375 23   9    D
  -657.3125 37  22    D
  -657.1875 30  15    D
  -657.0625 30  15    D
  -656.9375 50  48    D
  -656.8125 47  39    D
  -656.6875 40  27    D
  -656.5625 20   7    D
  -656.4375 23   9    D
  -656.3125 17   6    D
  -656.1875 13   5    D
  -656.0625 30  15    D
  -655.9375 37  22    D
  -655.8125 30  15    D
  -655.6875 27  12    D
  -655.5625 20   7    D
  -655.4375 27  12    D
  -655.3125 33  18    D
  -655.1875 20   7    D
