# Expanded and assembled Kp and ap
# created @ 2019-01-15 17:08:01
#   Flags: Definitive, Quicklook
#
#   MJD2000 Kp  ap Flag
  1672.0625 10   4    D
  1672.1875 13   5    D
  1672.3125 13   5    D
  1672.4375 10   4    D
  1672.5625 13   5    D
  1672.6875 17   6    D
  1672.8125 23   9    D
  1672.9375 33  18    D
  1673.0625 13   5    D
  1673.1875 17   6    D
  1673.3125 13   5    D
  1673.4375 17   6    D
  1673.5625 23   9    D
  1673.6875 20   7    D
  1673.8125 17   6    D
  1673.9375 23   9    D
  1674.0625 37  22    D
  1674.1875 23   9    D
  1674.3125 10   4    D
  1674.4375 10   4    D
  1674.5625 13   5    D
  1674.6875 10   4    D
  1674.8125 17   6    D
  1674.9375 20   7    D
  1675.0625 10   4    D
  1675.1875 13   5    D
  1675.3125 23   9    D
  1675.4375 23   9    D
  1675.5625 10   4    D
  1675.6875  3   2    D
  1675.8125 10   4    D
  1675.9375 27  12    D
  1676.0625 17   6    D
  1676.1875 13   5    D
  1676.3125  7   3    D
  1676.4375  3   2    D
  1676.5625  7   3    D
  1676.6875  0   0    D
  1676.8125  0   0    D
  1676.9375  3   2    D
  1677.0625  0   0    D
  1677.1875  3   2    D
  1677.3125  7   3    D
  1677.4375  7   3    D
  1677.5625 13   5    D
  1677.6875  7   3    D
  1677.8125  3   2    D
  1677.9375  7   3    D
  1678.0625  0   0    D
  1678.1875  7   3    D
  1678.3125  7   3    D
  1678.4375 13   5    D
  1678.5625 20   7    D
  1678.6875 13   5    D
  1678.8125 20   7    D
  1678.9375 27  12    D
  1679.0625 27  12    D
  1679.1875  7   3    D
  1679.3125  7   3    D
  1679.4375  0   0    D
  1679.5625  7   3    D
  1679.6875  7   3    D
  1679.8125 17   6    D
  1679.9375 23   9    D
  1680.0625 27  12    D
  1680.1875 27  12    D
  1680.3125 40  27    D
  1680.4375 37  22    D
  1680.5625 37  22    D
  1680.6875 20   7    D
  1680.8125 17   6    D
  1680.9375 27  12    D
  1681.0625 13   5    D
  1681.1875 10   4    D
  1681.3125 10   4    D
  1681.4375  3   2    D
  1681.5625  7   3    D
  1681.6875  3   2    D
  1681.8125  7   3    D
  1681.9375  3   2    D
  1682.0625 20   7    D
  1682.1875 17   6    D
  1682.3125 33  18    D
  1682.4375 20   7    D
  1682.5625 13   5    D
  1682.6875 23   9    D
  1682.8125 40  27    D
  1682.9375 43  32    D
  1683.0625 37  22    D
  1683.1875 17   6    D
  1683.3125 17   6    D
  1683.4375 20   7    D
  1683.5625 37  22    D
  1683.6875 33  18    D
  1683.8125 40  27    D
  1683.9375 33  18    D
  1684.0625 23   9    D
  1684.1875 13   5    D
  1684.3125 23   9    D
  1684.4375 33  18    D
  1684.5625 23   9    D
  1684.6875 23   9    D
  1684.8125 30  15    D
  1684.9375 23   9    D
  1685.0625 30  15    D
  1685.1875 20   7    D
  1685.3125 17   6    D
  1685.4375 17   6    D
  1685.5625 17   6    D
  1685.6875 13   5    D
  1685.8125 13   5    D
  1685.9375 23   9    D
  1686.0625 20   7    D
  1686.1875 17   6    D
  1686.3125 10   4    D
  1686.4375  7   3    D
  1686.5625 13   5    D
  1686.6875 13   5    D
  1686.8125 23   9    D
  1686.9375 27  12    D
  1687.0625 20   7    D
  1687.1875 17   6    D
  1687.3125 20   7    D
  1687.4375 27  12    D
  1687.5625 17   6    D
  1687.6875 13   5    D
  1687.8125 20   7    D
  1687.9375 17   6    D
  1688.0625  7   3    D
  1688.1875  7   3    D
  1688.3125  3   2    D
  1688.4375  7   3    D
  1688.5625 27  12    D
  1688.6875  3   2    D
  1688.8125  7   3    D
  1688.9375  7   3    D
  1689.0625  3   2    D
  1689.1875  7   3    D
  1689.3125  3   2    D
  1689.4375 10   4    D
  1689.5625 20   7    D
  1689.6875 20   7    D
  1689.8125 17   6    D
  1689.9375 20   7    D
  1690.0625 30  15    D
  1690.1875 13   5    D
  1690.3125  3   2    D
  1690.4375 13   5    D
  1690.5625 23   9    D
  1690.6875 23   9    D
  1690.8125 37  22    D
  1690.9375 30  15    D
  1691.0625 20   7    D
  1691.1875 23   9    D
  1691.3125 30  15    D
  1691.4375 17   6    D
  1691.5625 20   7    D
  1691.6875 17   6    D
  1691.8125 17   6    D
  1691.9375 27  12    D
  1692.0625 13   5    D
  1692.1875  7   3    D
  1692.3125  3   2    D
  1692.4375 10   4    D
  1692.5625 10   4    D
  1692.6875 17   6    D
  1692.8125 10   4    D
  1692.9375 17   6    D
  1693.0625 30  15    D
  1693.1875 30  15    D
  1693.3125 23   9    D
  1693.4375 37  22    D
  1693.5625 33  18    D
  1693.6875 33  18    D
  1693.8125 23   9    D
  1693.9375 30  15    D
  1694.0625 33  18    D
  1694.1875 37  22    D
  1694.3125 40  27    D
  1694.4375 27  12    D
  1694.5625 17   6    D
  1694.6875 23   9    D
  1694.8125 30  15    D
  1694.9375 37  22    D
  1695.0625 30  15    D
  1695.1875 23   9    D
  1695.3125 27  12    D
  1695.4375 33  18    D
  1695.5625 23   9    D
  1695.6875 27  12    D
  1695.8125 27  12    D
  1695.9375 23   9    D
  1696.0625 20   7    D
  1696.1875 13   5    D
  1696.3125 13   5    D
  1696.4375 10   4    D
  1696.5625 10   4    D
  1696.6875 13   5    D
  1696.8125 10   4    D
  1696.9375  7   3    D
  1697.0625 13   5    D
  1697.1875  3   2    D
  1697.3125  7   3    D
  1697.4375 10   4    D
  1697.5625  7   3    D
  1697.6875 10   4    D
  1697.8125  7   3    D
  1697.9375  0   0    D
  1698.0625  3   2    D
  1698.1875 13   5    D
  1698.3125  7   3    D
  1698.4375 13   5    D
  1698.5625 13   5    D
  1698.6875 13   5    D
  1698.8125 10   4    D
  1698.9375  7   3    D
  1699.0625  7   3    D
  1699.1875  3   2    D
  1699.3125  7   3    D
  1699.4375  7   3    D
  1699.5625 13   5    D
  1699.6875 17   6    D
  1699.8125 17   6    D
  1699.9375 23   9    D
  1700.0625 17   6    D
  1700.1875 10   4    D
  1700.3125 10   4    D
  1700.4375  3   2    D
  1700.5625 13   5    D
  1700.6875 17   6    D
  1700.8125 27  12    D
  1700.9375 20   7    D
  1701.0625 17   6    D
  1701.1875 23   9    D
  1701.3125 33  18    D
  1701.4375 20   7    D
  1701.5625  7   3    D
  1701.6875 10   4    D
  1701.8125 13   5    D
  1701.9375 13   5    D
  1702.0625 17   6    D
  1702.1875 17   6    D
  1702.3125  3   2    D
  1702.4375 17   6    D
  1702.5625 13   5    D
  1702.6875 13   5    D
  1702.8125 13   5    D
  1702.9375 17   6    D
  1703.0625 23   9    D
  1703.1875 20   7    D
  1703.3125 33  18    D
  1703.4375 40  27    D
  1703.5625 40  27    D
  1703.6875 57  67    D
  1703.8125 50  48    D
  1703.9375 70 132    D
  1704.0625 53  56    D
  1704.1875 47  39    D
  1704.3125 50  48    D
  1704.4375 30  15    D
  1704.5625 33  18    D
  1704.6875 30  15    D
  1704.8125 33  18    D
  1704.9375 27  12    D
  1705.0625 23   9    D
  1705.1875 17   6    D
  1705.3125 17   6    D
  1705.4375 13   5    D
  1705.5625 17   6    D
  1705.6875 17   6    D
  1705.8125 20   7    D
  1705.9375 23   9    D
  1706.0625 23   9    D
  1706.1875 17   6    D
  1706.3125 20   7    D
  1706.4375 17   6    D
  1706.5625  7   3    D
  1706.6875 10   4    D
  1706.8125 10   4    D
  1706.9375 13   5    D
  1707.0625 13   5    D
  1707.1875  7   3    D
  1707.3125  3   2    D
  1707.4375  3   2    D
  1707.5625  3   2    D
  1707.6875  7   3    D
  1707.8125  7   3    D
  1707.9375  0   0    D
  1708.0625  3   2    D
  1708.1875  0   0    D
  1708.3125  7   3    D
  1708.4375 10   4    D
  1708.5625  7   3    D
  1708.6875  0   0    D
  1708.8125  3   2    D
  1708.9375 10   4    D
  1709.0625 10   4    D
  1709.1875  3   2    D
  1709.3125 13   5    D
  1709.4375 13   5    D
  1709.5625 17   6    D
  1709.6875 27  12    D
  1709.8125 33  18    D
  1709.9375 10   4    D
  1710.0625 27  12    D
  1710.1875 17   6    D
  1710.3125 30  15    D
  1710.4375 33  18    D
  1710.5625 27  12    D
  1710.6875 37  22    D
  1710.8125 20   7    D
  1710.9375 37  22    D
  1711.0625 33  18    D
  1711.1875 30  15    D
  1711.3125 30  15    D
  1711.4375 27  12    D
  1711.5625 23   9    D
  1711.6875 17   6    D
  1711.8125 20   7    D
  1711.9375 13   5    D
  1712.0625 27  12    D
  1712.1875 30  15    D
  1712.3125 27  12    D
  1712.4375 13   5    D
  1712.5625 17   6    D
  1712.6875  7   3    D
  1712.8125  3   2    D
  1712.9375  3   2    D
  1713.0625  0   0    D
  1713.1875 13   5    D
  1713.3125  3   2    D
  1713.4375  7   3    D
  1713.5625 10   4    D
  1713.6875  3   2    D
  1713.8125 10   4    D
  1713.9375 20   7    D
  1714.0625  7   3    D
  1714.1875  7   3    D
  1714.3125  7   3    D
  1714.4375 10   4    D
  1714.5625  7   3    D
  1714.6875  0   0    D
  1714.8125  0   0    D
  1714.9375  0   0    D
  1715.0625  0   0    D
  1715.1875  0   0    D
  1715.3125  0   0    D
  1715.4375  3   2    D
  1715.5625  7   3    D
  1715.6875 10   4    D
  1715.8125  7   3    D
  1715.9375  7   3    D
  1716.0625 10   4    D
  1716.1875  7   3    D
  1716.3125  0   0    D
  1716.4375  0   0    D
  1716.5625  3   2    D
  1716.6875 13   5    D
  1716.8125  0   0    D
  1716.9375  3   2    D
  1717.0625  0   0    D
  1717.1875  0   0    D
  1717.3125  0   0    D
  1717.4375  3   2    D
  1717.5625  0   0    D
  1717.6875  3   2    D
  1717.8125 43  32    D
  1717.9375 43  32    D
  1718.0625 33  18    D
  1718.1875 47  39    D
  1718.3125 43  32    D
  1718.4375 40  27    D
  1718.5625 40  27    D
  1718.6875 40  27    D
  1718.8125 53  56    D
  1718.9375 40  27    D
  1719.0625 47  39    D
  1719.1875 30  15    D
  1719.3125 17   6    D
  1719.4375 17   6    D
  1719.5625 33  18    D
  1719.6875 30  15    D
  1719.8125 20   7    D
  1719.9375 23   9    D
  1720.0625 33  18    D
  1720.1875 30  15    D
  1720.3125 37  22    D
  1720.4375 27  12    D
  1720.5625 37  22    D
  1720.6875 33  18    D
  1720.8125 37  22    D
  1720.9375 37  22    D
  1721.0625 47  39    D
  1721.1875 40  27    D
  1721.3125 37  22    D
  1721.4375 30  15    D
  1721.5625 30  15    D
  1721.6875 27  12    D
  1721.8125 27  12    D
  1721.9375 40  27    D
  1722.0625 47  39    D
  1722.1875 50  48    D
  1722.3125 17   6    D
  1722.4375 30  15    D
  1722.5625 23   9    D
  1722.6875  7   3    D
  1722.8125  3   2    D
  1722.9375  0   0    D
  1723.0625  7   3    D
  1723.1875  0   0    D
  1723.3125  7   3    D
  1723.4375  7   3    D
  1723.5625  7   3    D
  1723.6875 13   5    D
  1723.8125 13   5    D
  1723.9375 30  15    D
  1724.0625 27  12    D
  1724.1875 13   5    D
  1724.3125 47  39    D
  1724.4375 30  15    D
  1724.5625 27  12    D
  1724.6875 20   7    D
  1724.8125  3   2    D
  1724.9375 17   6    D
  1725.0625 27  12    D
  1725.1875 30  15    D
  1725.3125 23   9    D
  1725.4375 13   5    D
  1725.5625 17   6    D
  1725.6875 13   5    D
  1725.8125 10   4    D
  1725.9375 13   5    D
  1726.0625  7   3    D
  1726.1875 10   4    D
  1726.3125 27  12    D
  1726.4375 27  12    D
  1726.5625 43  32    D
  1726.6875 40  27    D
  1726.8125 37  22    D
  1726.9375 33  18    D
  1727.0625 43  32    D
  1727.1875 43  32    D
  1727.3125 20   7    D
  1727.4375 13   5    D
  1727.5625 13   5    D
  1727.6875 10   4    D
  1727.8125 13   5    D
  1727.9375 20   7    D
  1728.0625 23   9    D
  1728.1875 20   7    D
  1728.3125 10   4    D
  1728.4375 17   6    D
  1728.5625  7   3    D
  1728.6875 17   6    D
  1728.8125 10   4    D
  1728.9375 13   5    D
  1729.0625  0   0    D
  1729.1875  7   3    D
  1729.3125  3   2    D
  1729.4375 17   6    D
  1729.5625 13   5    D
  1729.6875 10   4    D
  1729.8125 10   4    D
  1729.9375  3   2    D
  1730.0625 10   4    D
  1730.1875  3   2    D
  1730.3125 10   4    D
  1730.4375  0   0    D
  1730.5625  0   0    D
  1730.6875  3   2    D
  1730.8125 17   6    D
  1730.9375 13   5    D
  1731.0625  7   3    D
  1731.1875  3   2    D
  1731.3125  0   0    D
  1731.4375 10   4    D
  1731.5625 20   7    D
  1731.6875 20   7    D
  1731.8125 17   6    D
  1731.9375  3   2    D
  1732.0625 13   5    D
  1732.1875 27  12    D
  1732.3125 27  12    D
  1732.4375 10   4    D
  1732.5625  3   2    D
  1732.6875  7   3    D
  1732.8125 13   5    D
  1732.9375 27  12    D
  1733.0625 13   5    D
  1733.1875  0   0    D
  1733.3125  7   3    D
  1733.4375  7   3    D
  1733.5625 13   5    D
  1733.6875 10   4    D
  1733.8125 13   5    D
  1733.9375 23   9    D
  1734.0625 17   6    D
  1734.1875  3   2    D
  1734.3125  3   2    D
  1734.4375  0   0    D
  1734.5625  7   3    D
  1734.6875  3   2    D
  1734.8125 10   4    D
  1734.9375  3   2    D
  1735.0625  0   0    D
  1735.1875  7   3    D
  1735.3125  7   3    D
  1735.4375  7   3    D
  1735.5625  3   2    D
  1735.6875  7   3    D
  1735.8125 17   6    D
  1735.9375 13   5    D
  1736.0625 17   6    D
  1736.1875 27  12    D
  1736.3125 27  12    D
  1736.4375 33  18    D
  1736.5625 33  18    D
  1736.6875 20   7    D
  1736.8125 20   7    D
  1736.9375 20   7    D
  1737.0625 10   4    D
  1737.1875 10   4    D
  1737.3125 20   7    D
  1737.4375 27  12    D
  1737.5625 37  22    D
  1737.6875 27  12    D
  1737.8125 23   9    D
  1737.9375 40  27    D
  1738.0625 37  22    D
  1738.1875 33  18    D
  1738.3125 20   7    D
  1738.4375 23   9    D
  1738.5625 20   7    D
  1738.6875 17   6    D
  1738.8125 30  15    D
  1738.9375 23   9    D
  1739.0625 20   7    D
  1739.1875 17   6    D
  1739.3125 13   5    D
  1739.4375  0   0    D
  1739.5625  0   0    D
  1739.6875  3   2    D
  1739.8125  7   3    D
  1739.9375 17   6    D
  1740.0625 10   4    D
  1740.1875 17   6    D
  1740.3125 13   5    D
  1740.4375 10   4    D
  1740.5625  0   0    D
  1740.6875  0   0    D
  1740.8125  3   2    D
  1740.9375  3   2    D
  1741.0625  7   3    D
  1741.1875 10   4    D
  1741.3125  3   2    D
  1741.4375  3   2    D
  1741.5625  3   2    D
  1741.6875  0   0    D
  1741.8125  0   0    D
  1741.9375  3   2    D
  1742.0625  0   0    D
  1742.1875 10   4    D
  1742.3125 17   6    D
  1742.4375 10   4    D
  1742.5625 20   7    D
  1742.6875 23   9    D
  1742.8125 10   4    D
  1742.9375 20   7    D
  1743.0625 33  18    D
  1743.1875 13   5    D
  1743.3125  7   3    D
  1743.4375  7   3    D
  1743.5625 10   4    D
  1743.6875  7   3    D
  1743.8125  7   3    D
  1743.9375 10   4    D
  1744.0625 30  15    D
  1744.1875 33  18    D
  1744.3125 10   4    D
  1744.4375 17   6    D
  1744.5625 20   7    D
  1744.6875  7   3    D
  1744.8125 13   5    D
  1744.9375 20   7    D
  1745.0625 23   9    D
  1745.1875 37  22    D
  1745.3125 23   9    D
  1745.4375 13   5    D
  1745.5625 23   9    D
  1745.6875 23   9    D
  1745.8125 17   6    D
  1745.9375 33  18    D
  1746.0625 30  15    D
  1746.1875 27  12    D
  1746.3125 23   9    D
  1746.4375 23   9    D
  1746.5625  7   3    D
  1746.6875  7   3    D
  1746.8125  7   3    D
  1746.9375 33  18    D
  1747.0625 43  32    D
  1747.1875 50  48    D
  1747.3125 50  48    D
  1747.4375 33  18    D
  1747.5625 50  48    D
  1747.6875 40  27    D
  1747.8125 40  27    D
  1747.9375 33  18    D
  1748.0625 33  18    D
  1748.1875 37  22    D
  1748.3125 37  22    D
  1748.4375 40  27    D
  1748.5625 43  32    D
  1748.6875 40  27    D
  1748.8125 37  22    D
  1748.9375 23   9    D
  1749.0625 23   9    D
  1749.1875 30  15    D
  1749.3125 13   5    D
  1749.4375 20   7    D
  1749.5625 17   6    D
  1749.6875 20   7    D
  1749.8125 23   9    D
  1749.9375 20   7    D
  1750.0625 27  12    D
  1750.1875 17   6    D
  1750.3125 10   4    D
  1750.4375  7   3    D
  1750.5625  7   3    D
  1750.6875  0   0    D
  1750.8125  0   0    D
  1750.9375  7   3    D
  1751.0625  0   0    D
  1751.1875  3   2    D
  1751.3125  7   3    D
  1751.4375  3   2    D
  1751.5625  3   2    D
  1751.6875  3   2    D
  1751.8125  0   0    D
  1751.9375  3   2    D
  1752.0625  0   0    D
  1752.1875  0   0    D
  1752.3125  0   0    D
  1752.4375  3   2    D
  1752.5625  7   3    D
  1752.6875 13   5    D
  1752.8125 23   9    D
  1752.9375 13   5    D
  1753.0625  3   2    D
  1753.1875  7   3    D
  1753.3125  3   2    D
  1753.4375  3   2    D
  1753.5625 13   5    D
  1753.6875 17   6    D
  1753.8125  7   3    D
  1753.9375 17   6    D
  1754.0625 17   6    D
  1754.1875 30  15    D
  1754.3125 27  12    D
  1754.4375 13   5    D
  1754.5625 33  18    D
  1754.6875 37  22    D
  1754.8125 10   4    D
  1754.9375 30  15    D
  1755.0625 30  15    D
  1755.1875 33  18    D
  1755.3125 27  12    D
  1755.4375 17   6    D
  1755.5625  7   3    D
  1755.6875  3   2    D
  1755.8125 13   5    D
  1755.9375 13   5    D
  1756.0625 27  12    D
  1756.1875 20   7    D
  1756.3125 10   4    D
  1756.4375 13   5    D
  1756.5625 10   4    D
  1756.6875 17   6    D
  1756.8125 17   6    D
  1756.9375  7   3    D
  1757.0625  0   0    D
  1757.1875  0   0    D
  1757.3125  0   0    D
  1757.4375  7   3    D
  1757.5625  3   2    D
  1757.6875  7   3    D
  1757.8125  7   3    D
  1757.9375 17   6    D
  1758.0625 17   6    D
  1758.1875  7   3    D
  1758.3125  3   2    D
  1758.4375 10   4    D
  1758.5625 17   6    D
  1758.6875 27  12    D
  1758.8125 37  22    D
  1758.9375 23   9    D
  1759.0625 27  12    D
  1759.1875 33  18    D
  1759.3125 33  18    D
  1759.4375 33  18    D
  1759.5625 23   9    D
  1759.6875 23   9    D
  1759.8125 13   5    D
  1759.9375 17   6    D
  1760.0625 10   4    D
  1760.1875  7   3    D
  1760.3125  0   0    D
  1760.4375  3   2    D
  1760.5625  3   2    D
  1760.6875  0   0    D
  1760.8125  0   0    D
  1760.9375  0   0    D
  1761.0625  0   0    D
  1761.1875  0   0    D
  1761.3125  3   2    D
  1761.4375  3   2    D
  1761.5625 17   6    D
  1761.6875 17   6    D
  1761.8125 10   4    D
  1761.9375 13   5    D
  1762.0625 13   5    D
  1762.1875  7   3    D
  1762.3125  0   0    D
  1762.4375  3   2    D
  1762.5625  0   0    D
  1762.6875  3   2    D
  1762.8125  7   3    D
  1762.9375 10   4    D
  1763.0625  0   0    D
  1763.1875  0   0    D
  1763.3125  7   3    D
  1763.4375 17   6    D
  1763.5625 30  15    D
  1763.6875 20   7    D
  1763.8125 30  15    D
  1763.9375 17   6    D
  1764.0625 40  27    D
  1764.1875 37  22    D
  1764.3125 27  12    D
  1764.4375 30  15    D
  1764.5625 23   9    D
  1764.6875 30  15    D
  1764.8125 23   9    D
  1764.9375 40  27    D
  1765.0625 27  12    D
  1765.1875 20   7    D
  1765.3125 13   5    D
  1765.4375 27  12    D
  1765.5625 27  12    D
  1765.6875 33  18    D
  1765.8125 30  15    D
  1765.9375 30  15    D
  1766.0625 30  15    D
  1766.1875  7   3    D
  1766.3125  7   3    D
  1766.4375 13   5    D
  1766.5625 20   7    D
  1766.6875 13   5    D
  1766.8125  0   0    D
  1766.9375 13   5    D
  1767.0625 13   5    D
  1767.1875  0   0    D
  1767.3125 10   4    D
  1767.4375 10   4    D
  1767.5625 13   5    D
  1767.6875 17   6    D
  1767.8125 17   6    D
  1767.9375 10   4    D
  1768.0625  7   3    D
  1768.1875  3   2    D
  1768.3125  7   3    D
  1768.4375 23   9    D
  1768.5625 13   5    D
  1768.6875 27  12    D
  1768.8125 33  18    D
  1768.9375 43  32    D
  1769.0625 20   7    D
  1769.1875 30  15    D
  1769.3125 23   9    D
  1769.4375 13   5    D
  1769.5625 10   4    D
  1769.6875 20   7    D
  1769.8125 20   7    D
  1769.9375 27  12    D
  1770.0625 30  15    D
  1770.1875 10   4    D
  1770.3125  3   2    D
  1770.4375  7   3    D
  1770.5625  0   0    D
  1770.6875  3   2    D
  1770.8125  7   3    D
  1770.9375  0   0    D
  1771.0625  0   0    D
  1771.1875  0   0    D
  1771.3125  0   0    D
  1771.4375  3   2    D
  1771.5625  3   2    D
  1771.6875  0   0    D
  1771.8125  7   3    D
  1771.9375  0   0    D
  1772.0625 17   6    D
  1772.1875 30  15    D
  1772.3125  7   3    D
  1772.4375 33  18    D
  1772.5625 30  15    D
  1772.6875 47  39    D
  1772.8125 63  94    D
  1772.9375 80 207    D
  1773.0625 87 300    D
  1773.1875 87 300    D
  1773.3125 83 236    D
  1773.4375 70 132    D
  1773.5625 50  48    D
  1773.6875 27  12    D
  1773.8125 43  32    D
  1773.9375 53  56    D
  1774.0625 57  67    D
  1774.1875 60  80    D
  1774.3125 50  48    D
  1774.4375 60  80    D
  1774.5625 70 132    D
  1774.6875 67 111    D
  1774.8125 87 300    D
  1774.9375 70 132    D
  1775.0625 77 179    D
  1775.1875 83 236    D
  1775.3125 87 300    D
  1775.4375 83 236    D
  1775.5625 73 154    D
  1775.6875 63  94    D
  1775.8125 53  56    D
  1775.9375 43  32    D
  1776.0625 40  27    D
  1776.1875 50  48    D
  1776.3125 43  32    D
  1776.4375 37  22    D
  1776.5625 23   9    D
  1776.6875 30  15    D
  1776.8125 23   9    D
  1776.9375 43  32    D
  1777.0625 47  39    D
  1777.1875 47  39    D
  1777.3125 40  27    D
  1777.4375 43  32    D
  1777.5625 33  18    D
  1777.6875 40  27    D
  1777.8125 43  32    D
  1777.9375 40  27    D
  1778.0625 23   9    D
  1778.1875 20   7    D
  1778.3125 23   9    D
  1778.4375 17   6    D
  1778.5625 13   5    D
  1778.6875 20   7    D
  1778.8125  7   3    D
  1778.9375 23   9    D
  1779.0625 40  27    D
  1779.1875 27  12    D
  1779.3125 20   7    D
  1779.4375 13   5    D
  1779.5625 10   4    D
  1779.6875 13   5    D
  1779.8125 10   4    D
  1779.9375  3   2    D
  1780.0625  3   2    D
  1780.1875  3   2    D
  1780.3125  7   3    D
  1780.4375  0   0    D
  1780.5625  3   2    D
  1780.6875  3   2    D
  1780.8125  0   0    D
  1780.9375  3   2    D
  1781.0625  0   0    D
  1781.1875  7   3    D
  1781.3125 23   9    D
  1781.4375 23   9    D
  1781.5625 23   9    D
  1781.6875 27  12    D
  1781.8125 20   7    D
  1781.9375 23   9    D
  1782.0625 13   5    D
  1782.1875 17   6    D
  1782.3125 30  15    D
  1782.4375 23   9    D
  1782.5625  3   2    D
  1782.6875  3   2    D
  1782.8125  3   2    D
  1782.9375  7   3    D
  1783.0625 10   4    D
  1783.1875  3   2    D
  1783.3125  0   0    D
  1783.4375  0   0    D
  1783.5625  3   2    D
  1783.6875  7   3    D
  1783.8125  3   2    D
  1783.9375  0   0    D
  1784.0625  0   0    D
  1784.1875 17   6    D
  1784.3125  7   3    D
  1784.4375  0   0    D
  1784.5625  0   0    D
  1784.6875 10   4    D
  1784.8125 17   6    D
  1784.9375 23   9    D
  1785.0625 33  18    D
  1785.1875 37  22    D
  1785.3125 27  12    D
  1785.4375 40  27    D
  1785.5625 37  22    D
  1785.6875 37  22    D
  1785.8125 37  22    D
  1785.9375 27  12    D
  1786.0625 23   9    D
  1786.1875 23   9    D
  1786.3125 30  15    D
  1786.4375 37  22    D
  1786.5625 37  22    D
  1786.6875 40  27    D
  1786.8125 30  15    D
  1786.9375 30  15    D
  1787.0625 20   7    D
  1787.1875 27  12    D
  1787.3125 30  15    D
  1787.4375 23   9    D
  1787.5625 10   4    D
  1787.6875 10   4    D
  1787.8125 13   5    D
  1787.9375 13   5    D
  1788.0625 23   9    D
  1788.1875 10   4    D
  1788.3125  7   3    D
  1788.4375 17   6    D
  1788.5625  7   3    D
  1788.6875 17   6    D
  1788.8125 17   6    D
  1788.9375 23   9    D
  1789.0625 30  15    D
  1789.1875 20   7    D
  1789.3125 20   7    D
  1789.4375 23   9    D
  1789.5625 20   7    D
  1789.6875 13   5    D
  1789.8125 13   5    D
  1789.9375 27  12    D
  1790.0625 40  27    D
  1790.1875 43  32    D
  1790.3125 30  15    D
  1790.4375 27  12    D
  1790.5625 40  27    D
  1790.6875 27  12    D
  1790.8125 33  18    D
  1790.9375 30  15    D
  1791.0625 27  12    D
  1791.1875 30  15    D
  1791.3125 27  12    D
  1791.4375 23   9    D
  1791.5625 17   6    D
  1791.6875 27  12    D
  1791.8125 20   7    D
  1791.9375 37  22    D
  1792.0625 17   6    D
  1792.1875 13   5    D
  1792.3125 23   9    D
  1792.4375 20   7    D
  1792.5625 20   7    D
  1792.6875 37  22    D
  1792.8125 30  15    D
  1792.9375 30  15    D
  1793.0625 37  22    D
  1793.1875 30  15    D
  1793.3125 33  18    D
  1793.4375 17   6    D
  1793.5625 20   7    D
  1793.6875 27  12    D
  1793.8125 27  12    D
  1793.9375 27  12    D
  1794.0625 30  15    D
  1794.1875 30  15    D
  1794.3125 33  18    D
  1794.4375 30  15    D
  1794.5625 27  12    D
  1794.6875 30  15    D
  1794.8125 33  18    D
  1794.9375 40  27    D
  1795.0625 40  27    D
  1795.1875 40  27    D
  1795.3125 30  15    D
  1795.4375 20   7    D
  1795.5625 23   9    D
  1795.6875 27  12    D
  1795.8125 40  27    D
  1795.9375 33  18    D
  1796.0625 20   7    D
  1796.1875 33  18    D
  1796.3125 40  27    D
  1796.4375 27  12    D
  1796.5625 10   4    D
  1796.6875 20   7    D
  1796.8125 13   5    D
  1796.9375 27  12    D
  1797.0625 17   6    D
  1797.1875 10   4    D
  1797.3125 10   4    D
  1797.4375  3   2    D
  1797.5625  3   2    D
  1797.6875 13   5    D
  1797.8125 10   4    D
  1797.9375  3   2    D
  1798.0625  7   3    D
  1798.1875  3   2    D
  1798.3125  3   2    D
  1798.4375  3   2    D
  1798.5625  7   3    D
  1798.6875  7   3    D
  1798.8125 10   4    D
  1798.9375 10   4    D
  1799.0625  0   0    D
  1799.1875  0   0    D
  1799.3125  0   0    D
  1799.4375  0   0    D
  1799.5625  0   0    D
  1799.6875  0   0    D
  1799.8125  0   0    D
  1799.9375  0   0    D
  1800.0625  3   2    D
  1800.1875 10   4    D
  1800.3125 43  32    D
  1800.4375 20   7    D
  1800.5625 17   6    D
  1800.6875 20   7    D
  1800.8125 17   6    D
  1800.9375 17   6    D
  1801.0625 23   9    D
  1801.1875 30  15    D
  1801.3125 40  27    D
  1801.4375 30  15    D
  1801.5625 43  32    D
  1801.6875 37  22    D
  1801.8125 37  22    D
  1801.9375 37  22    D
  1802.0625 30  15    D
  1802.1875 30  15    D
  1802.3125 30  15    D
  1802.4375 23   9    D
  1802.5625 30  15    D
  1802.6875 27  12    D
  1802.8125 37  22    D
  1802.9375 30  15    D
  1803.0625 27  12    D
  1803.1875 30  15    D
  1803.3125 27  12    D
  1803.4375 17   6    D
  1803.5625 23   9    D
  1803.6875 23   9    D
  1803.8125 20   7    D
  1803.9375 33  18    D
  1804.0625 27  12    D
  1804.1875  7   3    D
  1804.3125 10   4    D
  1804.4375 23   9    D
  1804.5625 20   7    D
  1804.6875 20   7    D
  1804.8125 23   9    D
  1804.9375 23   9    D
  1805.0625 20   7    D
  1805.1875 23   9    D
  1805.3125 20   7    D
  1805.4375 20   7    D
  1805.5625 23   9    D
  1805.6875 30  15    D
  1805.8125 23   9    D
